start,open,high,low,close,volume
1774742400000,96.78,96.99,96.69,96.74,1641.74
1774743300000,96.74,96.79,96.21,96.33,3326.19
1774744200000,96.33,96.61,96.28,96.52,1211.92
1774745100000,96.52,96.9,96.52,96.89,837.21
1774746000000,96.89,97.38,96.89,97.1,2559.96
1774746900000,97.1,97.16,96.87,96.98,1064.64
1774747800000,96.98,97.11,96.67,97.0,858.27
1774748700000,97.0,97.09,96.77,96.97,2114.37
1774749600000,96.97,97.12,96.9,96.98,692.81
1774750500000,96.98,97.19,96.88,96.98,579.75
1774751400000,96.98,97.26,96.83,97.14,493.63
1774752300000,97.14,97.28,96.95,97.27,606.16
1774753200000,97.27,97.35,97.13,97.19,635.23
1774754100000,97.19,97.92,97.16,97.82,2484.19
1774755000000,97.82,97.93,97.56,97.7,1623.37
1774755900000,97.7,97.88,97.68,97.71,789.71
1774756800000,97.71,97.79,97.58,97.73,739.45
1774757700000,97.73,97.73,97.36,97.37,2427.53
1774758600000,97.37,97.46,97.22,97.3,278.09
1774759500000,97.3,97.33,97.2,97.27,303.26
1774760400000,97.27,97.27,97.0,97.04,725.77
1774761300000,97.04,97.15,96.89,97.05,887.53
1774762200000,97.05,97.17,97.0,97.09,189.9
1774763100000,97.09,97.28,96.96,97.09,1208.22
1774764000000,97.09,97.28,97.05,97.1,435.34
1774764900000,97.1,97.12,96.52,96.57,2792.84
1774765800000,96.57,96.59,96.35,96.56,1291.47
1774766700000,96.56,96.74,96.55,96.64,1983.41
1774767600000,96.64,96.65,96.26,96.49,742.03
1774768500000,96.49,96.67,96.43,96.66,300.86
1774769400000,96.66,96.7,96.54,96.61,432.98
1774770300000,96.61,96.83,96.52,96.64,771.51
1774771200000,96.64,96.71,96.35,96.49,1140.14
1774772100000,96.49,96.66,96.4,96.58,652.31
1774773000000,96.58,96.62,96.48,96.54,215.78
1774773900000,96.54,96.55,96.41,96.54,481.05
1774774800000,96.54,96.6,96.38,96.55,792.86
1774775700000,96.55,96.56,96.37,96.43,253.32
1774776600000,96.43,96.47,95.88,96.09,5378.12
1774777500000,96.09,96.22,96.01,96.13,1897.43
1774778400000,96.13,96.16,96.01,96.12,956.28
1774779300000,96.12,96.17,95.72,95.74,2955.59
1774780200000,95.74,95.8,95.33,95.66,7552.51
1774781100000,95.66,95.85,95.66,95.74,474.76
1774782000000,95.74,96.36,95.57,96.09,1892.9
1774782900000,96.09,96.13,95.91,95.96,471.92
1774783800000,95.96,96.21,95.96,96.1,3077.81
1774784700000,96.1,96.15,95.71,95.72,1576.68
1774785600000,95.72,95.85,95.62,95.7,1944.22
1774786500000,95.7,95.82,95.52,95.67,698.46
1774787400000,95.67,95.82,95.53,95.56,648.45
1774788300000,95.56,95.75,95.36,95.6,1851.93
1774789200000,95.6,95.66,94.84,95.11,7292.32
1774790100000,95.11,95.61,94.99,95.52,1365.57
1774791000000,95.52,95.74,95.5,95.53,762.02
1774791900000,95.53,95.58,95.23,95.29,1630.41
1774792800000,95.29,95.96,95.21,95.65,4796.99
1774793700000,95.65,95.77,95.42,95.51,584.57
1774794600000,95.51,95.62,95.31,95.48,656.06
1774795500000,95.48,95.5,95.29,95.47,1729.26
1774796400000,95.47,95.77,95.41,95.66,4168.72
1774797300000,95.66,95.83,95.37,95.5,2066.22
1774798200000,95.5,95.52,95.28,95.3,1216.22
1774799100000,95.3,95.47,95.24,95.45,1628.05
1774800000000,95.45,95.63,95.33,95.47,724.66
1774800900000,95.47,96.09,95.44,96.03,1791.7
1774801800000,96.03,96.03,95.7,95.71,921.2
1774802700000,95.71,95.73,95.38,95.41,861.92
1774803600000,95.41,95.45,95.1,95.14,1515.43
1774804500000,95.14,95.15,94.58,94.7,5680.48
1774805400000,94.7,94.87,94.61,94.85,1845.38
