start,open,high,low,close,volume
1766966400000,0.3683,0.3693,0.3666,0.3683,4771020.0
1766967300000,0.3683,0.3721,0.3678,0.3717,3787319.0
1766968200000,0.3717,0.3739,0.3708,0.3724,6862863.0
1766969100000,0.3724,0.3733,0.3714,0.3714,1356484.0
1766970000000,0.3714,0.3717,0.3693,0.3693,2869037.0
1766970900000,0.3693,0.3698,0.3676,0.3696,1564195.0
1766971800000,0.3696,0.3746,0.3693,0.3729,4216297.0
1766972700000,0.3729,0.3745,0.3729,0.3736,2560610.0
1766973600000,0.3736,0.3797,0.3736,0.3776,10925027.0
1766974500000,0.3776,0.3785,0.3749,0.3764,3392780.0
1766975400000,0.3764,0.3776,0.3758,0.3766,1090541.0
1766976300000,0.3766,0.3771,0.3762,0.3765,987834.0
1766977200000,0.3765,0.3777,0.3765,0.3777,1603046.0
1766978100000,0.3777,0.3778,0.3757,0.3763,1038303.0
1766979000000,0.3763,0.3826,0.3763,0.3807,9671406.0
1766979900000,0.3807,0.3822,0.3801,0.3809,5456855.0
1766980800000,0.3809,0.3818,0.3803,0.3818,2653763.0
1766981700000,0.3818,0.3826,0.3806,0.3813,2618366.0
1766982600000,0.3813,0.3845,0.3807,0.3815,2970040.0
1766983500000,0.3815,0.382,0.3808,0.3812,1583718.0
1766984400000,0.3812,0.3836,0.3788,0.382,8218310.0
1766985300000,0.382,0.383,0.381,0.3824,3436958.0
1766986200000,0.3824,0.3825,0.3806,0.3813,1665291.0
1766987100000,0.3813,0.3814,0.3796,0.3796,1177539.0
1766988000000,0.3796,0.3798,0.3776,0.3779,2569900.0
1766988900000,0.3779,0.3793,0.3776,0.3777,1033358.0
1766989800000,0.3777,0.3781,0.3764,0.377,1658224.0
1766990700000,0.377,0.3771,0.376,0.3768,1207007.0
1766991600000,0.3768,0.3772,0.3734,0.3754,9506616.0
1766992500000,0.3754,0.3758,0.3744,0.3747,1058552.0
1766993400000,0.3747,0.3765,0.3747,0.3753,1526967.0
1766994300000,0.3753,0.3762,0.3753,0.3756,603807.0
1766995200000,0.3756,0.3761,0.3751,0.3761,1007200.0
1766996100000,0.3761,0.3774,0.3757,0.3763,1549720.0
1766997000000,0.3763,0.3765,0.3751,0.3754,2223381.0
1766997900000,0.3754,0.3758,0.3738,0.375,1377995.0
1766998800000,0.375,0.3759,0.3745,0.3747,1160049.0
1766999700000,0.3747,0.3753,0.3735,0.374,1635953.0
1767000600000,0.374,0.3743,0.3683,0.369,8359033.0
1767001500000,0.369,0.3698,0.3671,0.3696,5030651.0
1767002400000,0.3696,0.3721,0.369,0.3707,2298502.0
1767003300000,0.3707,0.371,0.3697,0.3709,2304689.0
1767004200000,0.3709,0.3715,0.3705,0.3713,485995.0
1767005100000,0.3713,0.3714,0.3696,0.37,1855147.0
1767006000000,0.37,0.3709,0.3695,0.3707,1171789.0
1767006900000,0.3707,0.3709,0.3697,0.3698,667856.0
1767007800000,0.3698,0.3703,0.3694,0.3698,839365.0
1767008700000,0.3698,0.3698,0.3691,0.3692,2177792.0
1767009600000,0.3692,0.3694,0.3628,0.364,13518898.0
1767010500000,0.364,0.3661,0.3615,0.3651,6176087.0
1767011400000,0.3651,0.3656,0.3645,0.3649,2959782.0
1767012300000,0.3649,0.3657,0.3646,0.3654,1071946.0
1767013200000,0.3654,0.3667,0.3647,0.3651,3603775.0
1767014100000,0.3651,0.3656,0.364,0.3643,1117733.0
1767015000000,0.3643,0.3647,0.3635,0.3639,686282.0
1767015900000,0.3639,0.3645,0.363,0.364,1289926.0
1767016800000,0.364,0.365,0.3635,0.365,1584720.0
1767017700000,0.365,0.3651,0.363,0.365,1918298.0
1767018600000,0.365,0.3695,0.3642,0.3674,8467169.0
1767019500000,0.3674,0.3674,0.3639,0.3647,5953245.0
1767020400000,0.3647,0.3665,0.3639,0.3663,2949177.0
1767021300000,0.3663,0.367,0.3652,0.3667,1465531.0
1767022200000,0.3667,0.3675,0.3654,0.3672,1774065.0
1767023100000,0.3672,0.3672,0.3646,0.3652,2107055.0
1767024000000,0.3652,0.3654,0.3642,0.3647,1797313.0
1767024900000,0.3647,0.3647,0.3585,0.3603,9753149.0
1767025800000,0.3603,0.3608,0.3594,0.3596,2257063.0
1767026700000,0.3596,0.3609,0.3594,0.3597,1591949.0
1767027600000,0.3597,0.3608,0.3587,0.3598,6188564.0
1767028500000,0.3598,0.3609,0.3579,0.3588,4259597.0
1767029400000,0.3588,0.3592,0.3576,0.3587,3233528.0
1767030300000,0.3587,0.3603,0.3587,0.3595,2048385.0
1767031200000,0.3595,0.3598,0.3579,0.3583,2052065.0
1767032100000,0.3583,0.3587,0.3564,0.3566,3696491.0
1767033000000,0.3566,0.3568,0.3552,0.3556,3291976.0
1767033900000,0.3556,0.3556,0.3541,0.3552,4011859.0
1767034800000,0.3552,0.3574,0.3543,0.3563,4888788.0
1767035700000,0.3563,0.3565,0.3551,0.3553,1295729.0
1767036600000,0.3553,0.3562,0.3537,0.3543,1863998.0
1767037500000,0.3543,0.3544,0.3522,0.3526,4222590.0
1767038400000,0.3526,0.354,0.3519,0.3534,3472314.0
1767039300000,0.3534,0.3537,0.3508,0.3513,3125696.0
1767040200000,0.3513,0.3517,0.3502,0.3508,1966857.0
1767041100000,0.3508,0.3523,0.3505,0.3518,1881175.0
1767042000000,0.3518,0.3534,0.3513,0.3532,3105583.0
1767042900000,0.3532,0.3532,0.3515,0.3523,1252014.0
1767043800000,0.3523,0.3529,0.352,0.3527,1357013.0
1767044700000,0.3527,0.3529,0.352,0.3526,569503.0
1767045600000,0.3526,0.353,0.3517,0.3529,2017005.0
1767046500000,0.3529,0.3544,0.3527,0.3539,1270526.0
1767047400000,0.3539,0.3553,0.3537,0.3544,1729696.0
1767048300000,0.3544,0.3548,0.3538,0.3539,661234.0
1767049200000,0.3539,0.3539,0.3528,0.3533,976812.0
1767050100000,0.3533,0.3541,0.3527,0.353,1563227.0
1767051000000,0.353,0.3533,0.3528,0.3529,362108.0
1767051900000,0.3529,0.3532,0.3526,0.3529,1137211.0
1767052800000,0.3529,0.3535,0.3527,0.3533,1077178.0
1767053700000,0.3533,0.354,0.353,0.353,1382699.0
1767054600000,0.353,0.3533,0.3517,0.353,2234685.0
1767055500000,0.353,0.354,0.353,0.354,1070545.0
1767056400000,0.354,0.354,0.3527,0.3534,1793197.0
1767057300000,0.3534,0.3543,0.3534,0.3535,811332.0
1767058200000,0.3535,0.3546,0.3531,0.3544,1175189.0
1767059100000,0.3544,0.355,0.3518,0.3524,3712138.0
1767060000000,0.3524,0.3524,0.3499,0.3513,5428675.0
1767060900000,0.3513,0.352,0.348,0.3494,8042924.0
1767061800000,0.3494,0.3509,0.3491,0.3503,4771268.0
1767062700000,0.3503,0.3506,0.3496,0.3506,1850105.0
1767063600000,0.3506,0.3511,0.3501,0.3505,2267057.0
1767064500000,0.3505,0.3521,0.3496,0.3517,2888686.0
1767065400000,0.3517,0.352,0.3513,0.3517,1073839.0
1767066300000,0.3517,0.3529,0.3515,0.3523,3222116.0
1767067200000,0.3523,0.3527,0.3516,0.3519,1544273.0
1767068100000,0.3519,0.3534,0.3517,0.3531,1007018.0
1767069000000,0.3531,0.3532,0.3527,0.3532,730450.0
1767069900000,0.3532,0.3532,0.3522,0.3523,548517.0
1767070800000,0.3523,0.3524,0.3514,0.3522,1113262.0
1767071700000,0.3522,0.3523,0.351,0.3515,1222673.0
1767072600000,0.3515,0.3515,0.3507,0.3513,1320685.0
1767073500000,0.3513,0.3516,0.3506,0.3508,2243331.0
1767074400000,0.3508,0.3517,0.3506,0.3517,1110912.0
1767075300000,0.3517,0.352,0.3512,0.3515,979209.0
1767076200000,0.3515,0.3527,0.3514,0.3525,1392461.0
1767077100000,0.3525,0.3526,0.3505,0.3511,3015088.0
1767078000000,0.3511,0.3533,0.3508,0.3525,5823620.0
1767078900000,0.3525,0.3528,0.3512,0.3513,2059624.0
1767079800000,0.3513,0.3517,0.351,0.3514,1710358.0
1767080700000,0.3514,0.352,0.3511,0.3519,745099.0
1767081600000,0.3519,0.3563,0.3517,0.3548,8715191.0
1767082500000,0.3548,0.3567,0.3535,0.3547,5645843.0
1767083400000,0.3547,0.3557,0.3544,0.3551,1324897.0
1767084300000,0.3551,0.3554,0.3547,0.355,1473996.0
1767085200000,0.355,0.3556,0.3543,0.355,2054081.0
1767086100000,0.355,0.3554,0.3546,0.3554,1513639.0
1767087000000,0.3554,0.3557,0.3541,0.3551,893287.0
1767087900000,0.3551,0.3563,0.3549,0.3556,1399634.0
1767088800000,0.3556,0.356,0.3549,0.3549,1688382.0
1767089700000,0.3549,0.3553,0.3544,0.3545,1586407.0
1767090600000,0.3545,0.3549,0.3532,0.3549,2268637.0
