start,open,high,low,close,volume
1774742400000,0.6555,0.6556,0.6545,0.6551,89490.0
1774743300000,0.6551,0.6556,0.6528,0.6547,114200.0
1774744200000,0.6547,0.6583,0.6547,0.6579,182350.0
1774745100000,0.6579,0.6589,0.6574,0.6589,172992.0
1774746000000,0.6589,0.6594,0.6582,0.6589,114891.0
1774746900000,0.6589,0.6598,0.6584,0.6591,84126.0
1774747800000,0.6591,0.6595,0.6583,0.6595,20232.0
1774748700000,0.6595,0.6605,0.6586,0.6586,79871.0
1774749600000,0.6586,0.6599,0.6586,0.6598,24868.0
1774750500000,0.6598,0.6599,0.6579,0.6579,37542.0
1774751400000,0.6579,0.66,0.6579,0.6598,41380.0
1774752300000,0.6598,0.6599,0.6589,0.6589,35660.0
1774753200000,0.6589,0.659,0.6585,0.6587,8780.0
1774754100000,0.6587,0.6605,0.6586,0.6589,92387.0
1774755000000,0.6589,0.6599,0.6588,0.6599,33452.0
1774755900000,0.6599,0.6616,0.6597,0.661,81518.0
1774756800000,0.661,0.662,0.6605,0.6617,57735.0
1774757700000,0.6617,0.6619,0.6609,0.6615,70982.0
1774758600000,0.6615,0.6621,0.6615,0.6615,26228.0
1774759500000,0.6615,0.6616,0.6605,0.6606,25320.0
1774760400000,0.6606,0.6611,0.6605,0.6608,47266.0
1774761300000,0.6608,0.6612,0.6588,0.6588,85639.0
1774762200000,0.6588,0.6593,0.6583,0.6593,97936.0
1774763100000,0.6593,0.6596,0.6585,0.6592,44815.0
1774764000000,0.6592,0.661,0.659,0.6607,49190.0
1774764900000,0.6607,0.661,0.6597,0.6597,32705.0
1774765800000,0.6597,0.6602,0.6595,0.6598,23857.0
1774766700000,0.6598,0.6599,0.6585,0.6587,35910.0
1774767600000,0.6587,0.66,0.6587,0.66,44334.0
1774768500000,0.66,0.6602,0.6591,0.66,60388.0
1774769400000,0.66,0.6603,0.6584,0.6586,85694.0
1774770300000,0.6586,0.6597,0.6586,0.659,60109.0
1774771200000,0.659,0.6597,0.6585,0.6597,32371.0
1774772100000,0.6597,0.6604,0.6584,0.6588,191309.0
1774773000000,0.6588,0.6591,0.6585,0.6586,18251.0
1774773900000,0.6586,0.6594,0.6579,0.6594,335326.0
1774774800000,0.6594,0.6594,0.6584,0.6592,58355.0
