start,open,high,low,close,volume
1774569600000,9.096,9.104,9.066,9.101,28528.8
1774570500000,9.101,9.108,9.077,9.083,14418.1
1774571400000,9.083,9.099,9.072,9.085,17487.6
1774572300000,9.085,9.11,9.076,9.105,11576.9
1774573200000,9.105,9.12,9.095,9.096,22235.4
1774574100000,9.096,9.102,9.066,9.102,39071.8
1774575000000,9.102,9.113,9.094,9.108,6885.6
1774575900000,9.108,9.13,9.1,9.124,20465.3
1774576800000,9.124,9.132,9.119,9.126,14570.6
1774577700000,9.126,9.126,9.108,9.121,6586.9
1774578600000,9.121,9.141,9.109,9.114,8565.2
1774579500000,9.114,9.124,9.112,9.115,4235.5
1774580400000,9.115,9.121,9.067,9.07,19704.1
1774581300000,9.07,9.083,9.06,9.082,15615.0
1774582200000,9.082,9.092,9.076,9.087,12721.6
1774583100000,9.087,9.09,9.072,9.072,15125.3
1774584000000,9.072,9.077,8.999,9.006,90021.8
1774584900000,9.006,9.033,8.99,9.03,30258.1
1774585800000,9.03,9.051,9.015,9.049,27400.9
1774586700000,9.049,9.061,9.04,9.046,8997.7
1774587600000,9.046,9.076,9.046,9.076,12914.1
1774588500000,9.076,9.087,9.034,9.046,35768.0
1774589400000,9.046,9.072,9.038,9.057,8227.5
1774590300000,9.057,9.078,9.056,9.071,19803.5
1774591200000,9.071,9.073,9.046,9.06,10816.0
1774592100000,9.06,9.088,9.054,9.074,19669.5
1774593000000,9.074,9.083,9.068,9.08,7290.6
1774593900000,9.08,9.08,9.065,9.078,15799.4
1774594800000,9.078,9.086,9.049,9.07,15003.5
1774595700000,9.07,9.091,9.067,9.08,17362.1
1774596600000,9.08,9.083,9.034,9.047,27101.6
1774597500000,9.047,9.063,9.04,9.062,22556.3
1774598400000,9.062,9.076,9.037,9.039,16475.0
1774599300000,9.039,9.044,9.017,9.019,17903.2
1774600200000,9.019,9.03,8.904,8.938,165240.8
1774601100000,8.938,8.989,8.934,8.97,26514.6
1774602000000,8.97,8.982,8.908,8.932,69171.2
1774602900000,8.932,8.967,8.931,8.961,21614.8
1774603800000,8.961,8.967,8.928,8.934,15631.7
1774604700000,8.934,8.945,8.928,8.931,13433.8
1774605600000,8.931,8.937,8.911,8.932,23765.5
1774606500000,8.932,8.949,8.929,8.939,10705.6
1774607400000,8.939,8.943,8.743,8.808,359413.8
1774608300000,8.808,8.811,8.696,8.709,142975.0
1774609200000,8.709,8.721,8.659,8.707,137936.0
1774610100000,8.707,8.722,8.7,8.717,32365.1
1774611000000,8.717,8.739,8.715,8.731,48766.9
1774611900000,8.731,8.757,8.731,8.75,15642.2
1774612800000,8.75,8.767,8.727,8.752,60244.5
1774613700000,8.752,8.757,8.737,8.749,45972.6
1774614600000,8.749,8.762,8.724,8.751,45305.5
1774615500000,8.751,8.777,8.731,8.774,11024.1
1774616400000,8.774,8.803,8.774,8.789,38875.3
1774617300000,8.789,8.827,8.786,8.821,50417.0
1774618200000,8.821,8.826,8.736,8.809,67645.1
1774619100000,8.809,8.82,8.753,8.775,54456.0
1774620000000,8.775,8.821,8.769,8.815,18279.2
1774620900000,8.815,8.816,8.722,8.726,36216.3
1774621800000,8.726,8.756,8.726,8.751,38198.2
1774622700000,8.751,8.795,8.743,8.79,31751.1
1774623600000,8.79,8.818,8.789,8.796,25000.3
1774624500000,8.796,8.847,8.775,8.823,73342.5
1774625400000,8.823,8.878,8.821,8.836,31353.8
1774626300000,8.836,8.85,8.8,8.802,32428.4
1774627200000,8.802,8.804,8.759,8.782,31681.4
1774628100000,8.782,8.793,8.757,8.767,13148.5
1774629000000,8.767,8.782,8.743,8.772,18209.4
1774629900000,8.772,8.795,8.757,8.759,20719.7
1774630800000,8.759,8.813,8.754,8.803,49339.1
1774631700000,8.803,8.811,8.759,8.762,15725.8
1774632600000,8.762,8.778,8.741,8.742,15096.5
1774633500000,8.742,8.751,8.713,8.717,19745.1
1774634400000,8.717,8.723,8.679,8.681,61364.1
1774635300000,8.681,8.715,8.653,8.681,47096.5
1774636200000,8.681,8.716,8.671,8.704,17881.4
1774637100000,8.704,8.731,8.704,8.719,35237.4
1774638000000,8.719,8.723,8.686,8.706,14363.4
1774638900000,8.706,8.744,8.703,8.74,13306.2
1774639800000,8.74,8.76,8.728,8.74,25849.8
1774640700000,8.74,8.764,8.731,8.758,29799.1
1774641600000,8.758,8.773,8.752,8.76,10286.5
1774642500000,8.76,8.764,8.718,8.733,43243.1
1774643400000,8.733,8.749,8.723,8.741,21125.3
1774644300000,8.741,8.771,8.736,8.761,7841.5
1774645200000,8.761,8.784,8.761,8.78,9538.8
1774646100000,8.78,8.794,8.774,8.781,6813.7
1774647000000,8.781,8.797,8.772,8.787,9599.3
1774647900000,8.787,8.787,8.762,8.769,5527.3
