start,open,high,low,close,volume
1774742400000,480.5,481.2,480.2,480.7,201.22
1774743300000,480.7,481.4,480.1,480.7,610.88
1774744200000,480.7,481.5,480.6,481.3,233.18
1774745100000,481.3,481.6,480.5,481.4,217.27
1774746000000,481.4,482.7,481.1,482.5,752.4
1774746900000,482.5,483.1,481.9,482.8,438.52
1774747800000,482.8,483.1,481.5,482.8,763.5
1774748700000,482.8,483.6,482.4,483.4,257.57
1774749600000,483.4,483.8,483.1,483.5,276.03
1774750500000,483.5,483.7,482.7,483.4,154.28
1774751400000,483.4,484.0,482.8,483.7,193.57
1774752300000,483.7,483.8,483.1,483.6,171.79
1774753200000,483.6,483.6,482.8,482.9,70.38
1774754100000,482.9,484.0,482.3,482.5,414.56
1774755000000,482.5,483.1,482.5,483.1,150.47
1774755900000,483.1,483.3,482.8,483.3,120.36
1774756800000,483.3,483.7,483.0,483.5,168.96
1774757700000,483.5,484.0,483.2,483.6,219.22
1774758600000,483.6,483.9,482.9,483.3,330.41
1774759500000,483.3,483.3,482.3,482.4,307.84
1774760400000,482.4,482.5,481.1,481.3,476.69
1774761300000,481.3,482.8,481.1,482.7,192.31
1774762200000,482.7,483.8,482.3,483.6,432.37
1774763100000,483.6,483.8,483.0,483.0,256.99
1774764000000,483.0,483.6,483.0,483.5,375.79
1774764900000,483.5,483.6,482.6,482.7,165.98
1774765800000,482.7,483.0,482.4,482.7,125.4
1774766700000,482.7,484.1,482.6,483.6,1107.49
1774767600000,483.6,483.6,481.5,482.1,744.18
1774768500000,482.1,483.0,482.1,482.2,104.13
1774769400000,482.2,482.4,481.9,482.2,147.16
1774770300000,482.2,482.7,481.4,482.2,629.74
1774771200000,482.2,483.0,481.4,482.6,428.25
1774772100000,482.6,483.4,482.6,483.2,82.46
1774773000000,483.2,483.5,482.9,483.4,101.8
1774773900000,483.4,483.6,482.6,482.7,371.97
1774774800000,482.7,483.4,481.5,481.9,318.11
1774775700000,481.9,483.0,481.8,482.9,163.87
1774776600000,482.9,483.0,481.8,482.4,310.74
1774777500000,482.4,482.5,481.0,481.7,316.79
1774778400000,481.7,482.2,481.0,481.3,394.0
1774779300000,481.3,481.5,480.5,480.6,586.93
1774780200000,480.6,481.1,480.4,480.7,153.87
1774781100000,480.7,481.2,480.6,480.8,158.41
1774782000000,480.8,481.9,480.4,481.7,260.68
1774782900000,481.7,482.4,481.2,482.2,240.44
1774783800000,482.2,482.7,481.0,481.8,1453.06
1774784700000,481.8,482.4,481.6,482.0,201.26
1774785600000,482.0,482.1,481.1,481.1,144.05
1774786500000,481.1,482.1,481.1,482.1,183.1
1774787400000,482.1,482.3,481.5,481.8,340.43
1774788300000,481.8,482.0,481.2,481.2,231.66
1774789200000,481.2,481.4,478.1,479.0,2104.74
1774790100000,479.0,479.2,478.3,478.8,379.13
1774791000000,478.8,479.6,478.8,479.0,466.36
1774791900000,479.0,479.1,477.1,477.6,993.1
1774792800000,477.6,477.8,475.8,476.0,2207.14
1774793700000,476.0,476.3,462.0,464.9,12864.61
1774794600000,464.9,465.1,457.6,458.9,9764.38
1774795500000,458.9,459.8,457.5,459.1,3349.92
1774796400000,459.1,462.3,458.9,461.1,2930.8
1774797300000,461.1,461.1,458.0,459.8,2647.21
1774798200000,459.8,459.9,457.3,457.9,1214.31
1774799100000,457.9,459.4,457.3,458.8,909.61
1774800000000,458.8,458.8,455.1,455.5,2030.17
1774800900000,455.5,456.6,454.5,455.4,805.22
1774801800000,455.4,456.0,450.5,451.8,2127.19
1774802700000,451.8,452.4,450.6,451.2,1096.25
1774803600000,451.2,451.9,450.1,450.6,834.28
1774804500000,450.6,450.7,449.0,449.2,679.06
1774805400000,449.2,454.8,449.1,453.6,1858.42
1774806300000,453.6,454.8,452.8,453.0,1793.55
1774807200000,453.0,453.7,451.9,452.8,529.99
1774808100000,452.8,453.5,452.0,452.3,341.93
1774809000000,452.3,452.3,450.8,451.1,434.87
1774809900000,451.1,452.9,450.1,452.2,1049.9
1774810800000,452.2,453.4,451.2,453.1,954.12
1774811700000,453.1,453.9,452.6,453.5,553.32
1774812600000,453.5,455.0,453.5,454.0,845.63
1774813500000,454.0,454.3,453.7,454.2,295.45
1774814400000,454.2,455.0,453.5,453.6,524.09
1774815300000,453.6,455.3,453.4,453.5,514.05
1774816200000,453.5,454.0,453.3,453.4,234.5
1774817100000,453.4,454.1,453.3,453.5,510.65
1774818000000,453.5,453.5,452.5,452.9,544.23
1774818900000,452.9,453.0,452.4,452.5,345.36
1774819800000,452.5,452.7,451.8,451.9,224.82
1774820700000,451.9,454.6,451.9,454.3,403.98
1774821600000,454.3,454.3,451.5,451.7,482.69
1774822500000,451.7,453.0,451.1,452.0,499.32
1774823400000,452.0,452.6,449.5,450.1,1242.46
1774824300000,450.1,451.7,445.1,451.3,7049.23
1774825200000,451.3,453.0,449.1,449.3,2514.71
1774826100000,449.3,449.9,447.5,448.5,742.03
1774827000000,448.5,451.8,448.5,451.8,305.01
1774827900000,451.8,452.5,451.2,452.3,377.53
1774828800000,452.3,452.5,450.3,451.4,988.14
1774829700000,451.4,455.8,450.7,454.5,2881.96
1774830600000,454.5,455.4,452.5,454.1,839.72
1774831500000,454.1,455.4,453.3,455.0,466.64
1774832400000,455.0,456.1,453.7,453.8,521.27
1774833300000,453.8,455.2,453.4,454.5,549.4
1774834200000,454.5,454.7,453.6,454.5,229.43
1774835100000,454.5,456.0,454.3,455.6,349.32
1774836000000,455.6,456.4,454.3,456.3,321.65
1774836900000,456.3,456.9,455.7,456.7,493.06
1774837800000,456.7,457.4,456.0,456.9,875.61
1774838700000,456.9,460.0,456.7,458.4,2655.05
1774839600000,458.4,458.7,455.1,455.3,1191.58
1774840500000,455.3,457.7,455.1,457.5,325.79
1774841400000,457.5,457.6,456.4,456.4,1183.09
1774842300000,456.4,456.6,455.5,456.4,1424.6
1774843200000,456.4,456.4,455.2,455.3,992.28
1774844100000,455.3,455.7,453.8,454.1,1455.36
1774845000000,454.1,454.8,454.0,454.6,249.72
1774845900000,454.6,456.3,454.5,455.7,511.59
1774846800000,455.7,456.5,454.5,454.7,795.06
1774847700000,454.7,456.1,453.8,455.5,755.53
1774848600000,455.5,456.3,455.4,456.2,321.2
1774849500000,456.2,456.3,454.0,454.2,605.57
