start,open,high,low,close,volume
1766966400000,859.0,861.4,858.4,860.4,398.06
1766967300000,860.4,862.8,859.1,862.3,592.56
1766968200000,862.3,864.1,862.0,862.8,1048.8
1766969100000,862.8,864.5,862.1,862.2,257.23
1766970000000,862.2,862.4,859.7,860.5,583.46
1766970900000,860.5,860.9,859.0,860.4,308.07
1766971800000,860.4,865.2,859.8,863.5,715.36
1766972700000,863.5,865.1,863.4,864.1,580.05
1766973600000,864.1,872.0,864.1,869.5,2604.99
1766974500000,869.5,870.2,865.9,866.9,698.76
1766975400000,866.9,867.8,865.0,865.2,380.78
1766976300000,865.2,867.4,865.0,866.3,327.17
1766977200000,866.3,868.1,865.9,868.1,444.29
1766978100000,868.1,868.1,866.2,866.9,251.63
1766979000000,866.9,870.7,866.7,869.4,1056.19
1766979900000,869.4,869.9,867.7,868.6,384.01
1766980800000,868.6,869.4,867.3,868.6,576.94
1766981700000,868.6,871.3,868.5,869.2,1939.94
1766982600000,869.2,870.8,868.8,869.5,550.94
1766983500000,869.5,869.5,867.9,868.2,251.96
1766984400000,868.2,868.4,866.8,867.9,281.45
1766985300000,867.9,867.9,865.9,866.0,344.18
1766986200000,866.0,867.1,865.8,866.8,242.44
1766987100000,866.8,866.8,863.6,864.2,893.31
1766988000000,864.2,864.9,864.0,864.6,197.31
1766988900000,864.6,865.4,863.8,864.2,271.06
1766989800000,864.2,864.7,864.1,864.6,176.97
1766990700000,864.6,864.6,862.9,863.2,237.96
1766991600000,863.2,863.4,859.9,861.1,1192.6
1766992500000,861.1,861.3,858.2,858.3,788.81
1766993400000,858.3,861.1,858.3,859.8,443.32
1766994300000,859.8,861.2,859.5,860.1,710.6
1766995200000,860.1,861.3,859.8,859.9,512.15
1766996100000,859.9,860.3,858.7,859.5,1327.95
1766997000000,859.5,859.9,858.5,859.3,523.12
1766997900000,859.3,860.1,858.1,858.3,374.57
1766998800000,858.3,858.6,856.6,857.6,824.17
1766999700000,857.6,857.9,856.8,857.3,382.17
1767000600000,857.3,857.4,848.7,850.4,3197.51
1767001500000,850.4,850.9,846.8,850.8,5252.8
1767002400000,850.8,854.0,850.2,853.4,2730.64
1767003300000,853.4,853.6,852.4,852.7,397.04
1767004200000,852.7,853.8,852.7,853.6,353.1
1767005100000,853.6,854.1,852.6,853.5,378.05
1767006000000,853.5,854.3,852.2,854.2,478.23
1767006900000,854.2,855.1,853.9,854.4,203.99
1767007800000,854.4,854.6,853.9,854.0,311.91
1767008700000,854.0,854.0,851.9,852.5,482.91
1767009600000,852.5,853.4,845.4,847.3,2360.2
1767010500000,847.3,852.3,845.6,851.6,1291.07
1767011400000,851.6,852.9,850.8,850.8,808.75
1767012300000,850.8,851.5,849.8,851.3,1228.3
1767013200000,851.3,852.9,850.7,851.0,510.65
1767014100000,851.0,851.6,849.1,849.3,317.46
1767015000000,849.3,850.6,849.2,849.8,245.1
1767015900000,849.8,850.3,848.2,849.6,367.03
1767016800000,849.6,849.7,848.1,849.7,355.71
1767017700000,849.7,851.1,848.7,850.8,443.2
1767018600000,850.8,855.0,849.7,854.2,1738.48
1767019500000,854.2,854.9,849.6,850.7,784.91
1767020400000,850.7,853.4,849.7,853.4,528.37
1767021300000,853.4,854.1,851.6,853.5,1227.28
1767022200000,853.5,854.9,853.0,854.5,288.44
1767023100000,854.5,854.6,852.9,853.1,273.23
1767024000000,853.1,854.9,852.3,854.3,1233.86
1767024900000,854.3,854.3,849.7,850.2,874.01
1767025800000,850.2,852.0,849.5,851.9,491.58
1767026700000,851.9,853.5,851.7,853.4,357.85
1767027600000,853.4,854.5,852.7,853.2,153.62
1767028500000,853.2,854.3,851.6,852.4,460.85
1767029400000,852.4,852.9,852.0,852.8,105.12
1767030300000,852.8,854.1,852.8,854.0,250.04
1767031200000,854.0,855.1,854.0,854.5,305.54
1767032100000,854.5,855.0,853.8,853.9,100.36
1767033000000,853.9,854.3,852.5,853.1,94.37
1767033900000,853.1,853.4,850.6,851.3,521.87
1767034800000,851.3,853.0,850.7,851.6,640.61
1767035700000,851.6,852.3,851.5,851.9,111.59
1767036600000,851.9,852.8,851.3,852.3,107.48
1767037500000,852.3,852.9,851.9,852.7,480.9
1767038400000,852.7,854.6,852.2,854.1,452.63
1767039300000,854.1,854.2,852.0,852.6,313.1
1767040200000,852.6,853.0,851.5,851.7,205.35
1767041100000,851.7,852.3,851.0,852.2,189.7
1767042000000,852.2,853.1,852.0,853.0,119.77
1767042900000,853.0,853.5,852.4,852.9,79.12
1767043800000,852.9,853.9,852.7,853.9,79.85
1767044700000,853.9,854.5,853.5,854.3,55.72
1767045600000,854.3,854.4,852.3,852.6,420.46
1767046500000,852.6,853.5,852.6,853.0,44.68
1767047400000,853.0,853.4,852.5,853.3,167.15
1767048300000,853.3,853.7,853.1,853.1,117.04
1767049200000,853.1,853.4,852.3,853.2,264.05
1767050100000,853.2,853.4,851.7,851.8,404.04
1767051000000,851.8,852.2,851.5,851.6,133.17
1767051900000,851.6,852.1,851.6,852.1,89.12
1767052800000,852.1,853.1,851.6,852.8,212.24
