start,open,high,low,close,volume
1774742400000,1.2581,1.2621,1.2571,1.2582,248635.4
1774743300000,1.2582,1.2585,1.2524,1.2552,275007.5
1774744200000,1.2552,1.2569,1.2468,1.2532,390656.6
1774745100000,1.2532,1.2582,1.2528,1.258,130697.0
1774746000000,1.258,1.2639,1.2577,1.2634,224043.4
1774746900000,1.2634,1.2661,1.263,1.2653,97827.9
1774747800000,1.2653,1.2662,1.2612,1.2635,124611.3
1774748700000,1.2635,1.2649,1.2615,1.2633,169174.2
1774749600000,1.2633,1.2651,1.2623,1.2641,85021.6
1774750500000,1.2641,1.265,1.2624,1.2628,122963.9
1774751400000,1.2628,1.2656,1.2612,1.265,125962.6
1774752300000,1.265,1.2667,1.264,1.2648,117142.2
1774753200000,1.2648,1.2665,1.2644,1.2644,70729.6
1774754100000,1.2644,1.2711,1.2643,1.2703,241566.3
1774755000000,1.2703,1.2715,1.2652,1.2684,307086.7
1774755900000,1.2684,1.2701,1.2681,1.2693,78847.4
1774756800000,1.2693,1.2698,1.2665,1.2671,112996.1
1774757700000,1.2671,1.2683,1.2645,1.2662,90038.8
1774758600000,1.2662,1.2677,1.265,1.2672,83798.4
1774759500000,1.2672,1.2676,1.2655,1.2664,116343.5
1774760400000,1.2664,1.2665,1.264,1.2649,116765.4
1774761300000,1.2649,1.2685,1.2631,1.2668,158161.8
1774762200000,1.2668,1.2698,1.2667,1.2694,136109.2
1774763100000,1.2694,1.2718,1.268,1.2699,184661.7
1774764000000,1.2699,1.2732,1.2695,1.272,107203.0
1774764900000,1.272,1.2729,1.2674,1.2687,135831.9
1774765800000,1.2687,1.2692,1.2666,1.2681,149564.2
1774766700000,1.2681,1.2723,1.2681,1.2699,201411.2
1774767600000,1.2699,1.2701,1.2659,1.2678,126938.9
1774768500000,1.2678,1.2686,1.266,1.2686,96656.3
1774769400000,1.2686,1.2689,1.2657,1.2659,71342.0
1774770300000,1.2659,1.2689,1.2649,1.2681,181319.5
1774771200000,1.2681,1.2702,1.2667,1.2684,137822.9
1774772100000,1.2684,1.2715,1.2679,1.2712,128711.6
1774773000000,1.2712,1.2722,1.271,1.2714,108013.4
1774773900000,1.2714,1.272,1.2699,1.2712,78999.3
1774774800000,1.2712,1.273,1.2701,1.2722,126029.8
1774775700000,1.2722,1.2732,1.2698,1.2716,104752.6
1774776600000,1.2716,1.2734,1.2684,1.27,258537.6
1774777500000,1.27,1.2704,1.269,1.2693,47686.1
1774778400000,1.2693,1.2697,1.2674,1.2683,110198.7
1774779300000,1.2683,1.2683,1.2642,1.2643,158032.4
1774780200000,1.2643,1.2653,1.2614,1.264,238031.0
1774781100000,1.264,1.2661,1.2634,1.2656,36692.7
1774782000000,1.2656,1.275,1.2656,1.2738,231252.4
1774782900000,1.2738,1.2752,1.2725,1.2729,141470.1
1774783800000,1.2729,1.2743,1.2706,1.2715,155285.1
1774784700000,1.2715,1.2719,1.2653,1.266,245894.0
1774785600000,1.266,1.266,1.2622,1.2622,99103.2
1774786500000,1.2622,1.2644,1.2617,1.263,165437.0
1774787400000,1.263,1.2642,1.2593,1.2608,319858.2
1774788300000,1.2608,1.2626,1.2559,1.2612,305015.2
1774789200000,1.2612,1.2626,1.2542,1.2585,423677.2
1774790100000,1.2585,1.2641,1.2574,1.2626,174429.3
1774791000000,1.2626,1.2653,1.2621,1.2636,136395.7
1774791900000,1.2636,1.2652,1.2616,1.2626,205979.3
1774792800000,1.2626,1.2689,1.2597,1.2639,544916.9
1774793700000,1.2639,1.2662,1.2636,1.2641,119225.6
1774794600000,1.2641,1.2674,1.2627,1.2638,71373.7
1774795500000,1.2638,1.2648,1.2611,1.2633,247107.3
1774796400000,1.2633,1.2665,1.2597,1.2629,540137.0
1774797300000,1.2629,1.2643,1.2543,1.2555,645823.2
1774798200000,1.2555,1.2577,1.2548,1.2554,152868.2
1774799100000,1.2554,1.2582,1.2549,1.2559,226679.4
1774800000000,1.2559,1.2569,1.2544,1.2552,118892.7
1774800900000,1.2552,1.2599,1.2546,1.2599,279918.4
1774801800000,1.2599,1.2599,1.2565,1.2565,193361.5
1774802700000,1.2565,1.2575,1.2545,1.2548,133194.5
1774803600000,1.2548,1.2566,1.252,1.2527,226334.0
1774804500000,1.2527,1.2537,1.2484,1.2517,334576.0
1774805400000,1.2517,1.2565,1.2509,1.2556,157018.5
1774806300000,1.2556,1.2557,1.2531,1.2537,70524.7
1774807200000,1.2537,1.2539,1.2503,1.2536,135865.1
1774808100000,1.2536,1.2555,1.2502,1.2525,143829.2
1774809000000,1.2525,1.2571,1.2524,1.2554,181548.4
1774809900000,1.2554,1.2554,1.2534,1.2535,91401.3
1774810800000,1.2535,1.2537,1.2489,1.2514,256436.3
1774811700000,1.2514,1.2544,1.2514,1.2521,155686.3
1774812600000,1.2521,1.2538,1.2513,1.2522,106967.0
1774813500000,1.2522,1.2539,1.2515,1.2524,133285.3
1774814400000,1.2524,1.2564,1.2522,1.2534,157112.5
1774815300000,1.2534,1.2632,1.2533,1.2623,207490.5
1774816200000,1.2623,1.2625,1.2587,1.2592,195850.4
1774817100000,1.2592,1.2602,1.2577,1.2596,92657.5
1774818000000,1.2596,1.2628,1.2588,1.2627,195101.5
1774818900000,1.2627,1.2662,1.2627,1.266,130357.5
1774819800000,1.266,1.2661,1.2607,1.2633,128800.4
1774820700000,1.2633,1.2675,1.2633,1.2662,97005.1
1774821600000,1.2662,1.2662,1.2565,1.2594,215535.5
1774822500000,1.2594,1.2629,1.2582,1.2601,87723.8
1774823400000,1.2601,1.2617,1.2376,1.2439,1033515.8
1774824300000,1.2439,1.2525,1.2183,1.25,2101660.8
1774825200000,1.25,1.2575,1.2484,1.2539,501165.9
1774826100000,1.2539,1.2595,1.2515,1.2516,459169.0
1774827000000,1.2516,1.2567,1.2496,1.2567,457650.6
1774827900000,1.2567,1.2615,1.2542,1.2595,516779.0
1774828800000,1.2595,1.2632,1.2584,1.262,435154.6
1774829700000,1.262,1.2865,1.2616,1.276,1437054.8
1774830600000,1.276,1.2803,1.2675,1.2695,334672.0
1774831500000,1.2695,1.2711,1.2643,1.2688,209132.8
1774832400000,1.2688,1.2737,1.2641,1.2647,324371.1
1774833300000,1.2647,1.2722,1.264,1.2708,258355.1
1774834200000,1.2708,1.2754,1.2687,1.2703,212935.6
1774835100000,1.2703,1.2749,1.2696,1.2748,299023.1
1774836000000,1.2748,1.2826,1.2724,1.2761,516262.5
1774836900000,1.2761,1.2779,1.2689,1.271,254074.2
1774837800000,1.271,1.2761,1.2691,1.2761,277484.7
1774838700000,1.2761,1.2852,1.2721,1.2728,688631.5
1774839600000,1.2728,1.2756,1.2708,1.2718,191912.2
1774840500000,1.2718,1.2757,1.2705,1.2751,140057.4
1774841400000,1.2751,1.2759,1.2702,1.2727,204693.8
1774842300000,1.2727,1.2741,1.2701,1.2717,162434.7
1774843200000,1.2717,1.277,1.2716,1.2738,183262.8
1774844100000,1.2738,1.2757,1.2707,1.2727,257422.5
1774845000000,1.2727,1.2754,1.2674,1.2695,562603.0
1774845900000,1.2695,1.2746,1.2695,1.2705,225688.1
1774846800000,1.2705,1.2743,1.2691,1.2698,387224.1
1774847700000,1.2698,1.2702,1.2668,1.2688,211280.6
1774848600000,1.2688,1.2689,1.2628,1.2648,139049.2
1774849500000,1.2648,1.2656,1.2595,1.2619,297207.6
1774850400000,1.2619,1.2667,1.2616,1.2623,142229.9
1774851300000,1.2623,1.2638,1.2601,1.2636,135750.4
1774852200000,1.2636,1.2652,1.2621,1.2651,207960.6
1774853100000,1.2651,1.2704,1.2651,1.2667,267965.9
1774854000000,1.2667,1.2739,1.2665,1.2717,239164.7
1774854900000,1.2717,1.2726,1.2672,1.2681,325080.5
1774855800000,1.2681,1.27,1.2664,1.2675,130741.7
1774856700000,1.2675,1.2777,1.2675,1.277,419071.0
1774857600000,1.277,1.279,1.2737,1.2786,205906.0
1774858500000,1.2786,1.282,1.2774,1.2799,237169.1
1774859400000,1.2799,1.2854,1.2799,1.2817,454846.1
1774860300000,1.2817,1.2829,1.2775,1.2785,210893.2
1774861200000,1.2785,1.2788,1.2734,1.2738,155078.5
1774862100000,1.2738,1.2744,1.2686,1.2693,263348.2
1774863000000,1.2693,1.2695,1.2657,1.2677,269701.2
1774863900000,1.2677,1.2691,1.267,1.2682,101514.2
1774864800000,1.2682,1.2694,1.2665,1.2671,91463.0
1774865700000,1.2671,1.2696,1.2662,1.2682,97073.2
1774866600000,1.2682,1.2682,1.2642,1.266,205040.5
1774867500000,1.266,1.2706,1.2657,1.27,140566.4
1774868400000,1.27,1.2722,1.2695,1.2722,153972.9
1774869300000,1.2722,1.2875,1.2721,1.2769,900749.0
1774870200000,1.2769,1.2795,1.2751,1.2784,255603.1
1774871100000,1.2784,1.281,1.2777,1.2795,132573.1
1774872000000,1.2795,1.2842,1.2795,1.2796,166496.1
1774872900000,1.2796,1.28,1.2743,1.2755,195673.6
1774873800000,1.2755,1.2776,1.2731,1.2755,198705.5
1774874700000,1.2755,1.2766,1.2736,1.2754,156999.5
1774875600000,1.2754,1.2793,1.2731,1.2769,188780.8
1774876500000,1.2769,1.2798,1.2746,1.2752,243710.8
1774877400000,1.2752,1.2764,1.2695,1.2703,501594.5
1774878300000,1.2703,1.2724,1.2633,1.2645,363062.4
1774879200000,1.2645,1.2687,1.2645,1.2674,289505.6
1774880100000,1.2674,1.2675,1.2584,1.2618,536013.2
1774881000000,1.2618,1.2642,1.258,1.2605,303339.9
1774881900000,1.2605,1.2719,1.2599,1.2701,435810.9
1774882800000,1.2701,1.2712,1.2613,1.2614,265065.4
1774883700000,1.2614,1.2628,1.2587,1.2627,278764.0
1774884600000,1.2627,1.268,1.2626,1.2652,256169.2
1774885500000,1.2652,1.2656,1.2622,1.2625,192046.7
1774886400000,1.2625,1.2648,1.2608,1.2639,237345.6
1774887300000,1.2639,1.2669,1.263,1.2632,252359.7
1774888200000,1.2632,1.2655,1.2619,1.2643,192894.6
1774889100000,1.2643,1.2646,1.2586,1.2619,328774.6
1774890000000,1.2619,1.264,1.2567,1.2573,221875.2
1774890900000,1.2573,1.2574,1.2472,1.2503,622638.3
1774891800000,1.2503,1.2529,1.2443,1.2503,624777.1
1774892700000,1.2503,1.2511,1.2451,1.2493,437398.8
1774893600000,1.2493,1.2502,1.2453,1.2475,293739.3
1774894500000,1.2475,1.2477,1.2433,1.2464,421231.9
1774895400000,1.2464,1.2482,1.2442,1.2478,268403.0
1774896300000,1.2478,1.2481,1.2437,1.245,349449.2
1774897200000,1.245,1.2451,1.2383,1.241,630545.9
1774898100000,1.241,1.2414,1.2322,1.2343,510835.8
1774899000000,1.2343,1.2366,1.2325,1.236,421512.0
1774899900000,1.236,1.2415,1.236,1.2392,322785.2
1774900800000,1.2392,1.2435,1.2377,1.2422,193866.7
1774901700000,1.2422,1.2424,1.2371,1.2371,246600.8
1774902600000,1.2371,1.2371,1.2325,1.2337,231302.4
1774903500000,1.2337,1.2354,1.2324,1.2341,155885.3
1774904400000,1.2341,1.2409,1.2332,1.2405,322448.3
1774905300000,1.2405,1.2436,1.2389,1.2407,240864.0
1774906200000,1.2407,1.2489,1.2407,1.2483,275272.1
1774907100000,1.2483,1.2506,1.2462,1.2464,92326.6
1774908000000,1.2464,1.2493,1.243,1.2456,297273.6
1774908900000,1.2456,1.2468,1.2439,1.245,158806.3
1774909800000,1.245,1.2482,1.2435,1.2472,145443.4
1774910700000,1.2472,1.2476,1.2438,1.245,97059.6
1774911600000,1.245,1.2453,1.2349,1.2383,382322.7
1774912500000,1.2383,1.2423,1.2371,1.2423,143406.3
1774913400000,1.2423,1.2435,1.2396,1.2412,100105.2
1774914300000,1.2412,1.2435,1.2394,1.2428,179415.9
1774915200000,1.2428,1.2432,1.2358,1.2394,371332.1
1774916100000,1.2394,1.241,1.237,1.2403,316969.6
1774917000000,1.2403,1.242,1.2379,1.2412,247022.0
1774917900000,1.2412,1.2467,1.2409,1.2429,252979.2
1774918800000,1.2429,1.2453,1.2401,1.2435,210060.3
1774919700000,1.2435,1.2515,1.2417,1.2513,520638.0
1774920600000,1.2513,1.2638,1.2511,1.2532,831425.2
1774921500000,1.2532,1.2572,1.2511,1.2569,229257.0
1774922400000,1.2569,1.2574,1.2536,1.2565,210028.6
1774923300000,1.2565,1.2622,1.2565,1.2609,183841.1
1774924200000,1.2609,1.262,1.2577,1.2583,160089.4
1774925100000,1.2583,1.2599,1.2558,1.2578,231232.6
1774926000000,1.2578,1.26,1.2553,1.2577,155429.3
1774926900000,1.2577,1.2583,1.2525,1.2534,135081.7
1774927800000,1.2534,1.2543,1.2509,1.254,248371.9
1774928700000,1.254,1.255,1.2511,1.2527,265836.1
1774929600000,1.2527,1.2545,1.2485,1.2504,366527.5
1774930500000,1.2504,1.2534,1.2446,1.2466,325225.7
1774931400000,1.2466,1.2481,1.2444,1.2469,335355.1
1774932300000,1.2469,1.2481,1.2446,1.2456,97039.7
1774933200000,1.2456,1.2461,1.2411,1.2446,262095.4
1774934100000,1.2446,1.2497,1.2436,1.2489,273850.2
1774935000000,1.2489,1.2489,1.2447,1.2455,243244.3
1774935900000,1.2455,1.2488,1.2451,1.2455,115805.9
1774936800000,1.2455,1.246,1.2424,1.2428,322379.0
1774937700000,1.2428,1.2441,1.2372,1.2408,265164.3
1774938600000,1.2408,1.2431,1.2382,1.2428,274369.6
1774939500000,1.2428,1.2498,1.2428,1.2492,192966.7
1774940400000,1.2492,1.2537,1.2475,1.2506,345362.5
1774941300000,1.2506,1.2534,1.2459,1.2509,419900.9
1774942200000,1.2509,1.2542,1.2492,1.2531,305211.1
1774943100000,1.2531,1.256,1.2527,1.255,225524.0
1774944000000,1.255,1.2576,1.2528,1.2541,412418.5
1774944900000,1.2541,1.2557,1.2512,1.2534,257999.0
1774945800000,1.2534,1.2534,1.238,1.2392,606603.5
1774946700000,1.2392,1.2452,1.2368,1.2401,449644.4
1774947600000,1.2401,1.2426,1.2374,1.2425,400717.1
1774948500000,1.2425,1.2427,1.235,1.2372,349933.3
1774949400000,1.2372,1.2399,1.236,1.2398,191264.6
1774950300000,1.2398,1.2404,1.2256,1.2313,1221262.1
1774951200000,1.2313,1.2358,1.2297,1.2352,349667.7
1774952100000,1.2352,1.2362,1.2317,1.2323,192993.8
1774953000000,1.2323,1.2326,1.2283,1.2294,441115.7
1774953900000,1.2294,1.2306,1.2265,1.2276,537752.6
1774954800000,1.2276,1.2346,1.225,1.2346,1234292.7
1774955700000,1.2346,1.2437,1.2327,1.2407,818095.1
1774956600000,1.2407,1.2412,1.2349,1.2386,439835.2
1774957500000,1.2386,1.2388,1.2352,1.2374,194856.8
1774958400000,1.2374,1.2415,1.2329,1.2333,365400.2
1774959300000,1.2333,1.2429,1.2322,1.2412,1117339.5
1774960200000,1.2412,1.2435,1.2404,1.2425,258196.6
1774961100000,1.2425,1.2438,1.2404,1.2416,223690.2
1774962000000,1.2416,1.2541,1.2414,1.2503,533515.3
1774962900000,1.2503,1.2569,1.2502,1.2561,415362.6
1774963800000,1.2561,1.2637,1.2556,1.2603,648373.5
1774964700000,1.2603,1.2687,1.2594,1.2656,666966.0
1774965600000,1.2656,1.2745,1.2618,1.2683,662848.9
1774966500000,1.2683,1.277,1.2675,1.2715,462497.0
1774967400000,1.2715,1.2735,1.2613,1.2644,359172.6
1774968300000,1.2644,1.2645,1.2519,1.2559,523078.1
1774969200000,1.2559,1.2664,1.255,1.2645,432200.8
1774970100000,1.2645,1.2653,1.2535,1.2542,383812.9
1774971000000,1.2542,1.2558,1.2503,1.2524,478535.4
1774971900000,1.2524,1.2542,1.2506,1.2513,229505.1
1774972800000,1.2513,1.2585,1.2513,1.2581,237471.8
1774973700000,1.2581,1.2604,1.2563,1.2581,218029.1
1774974600000,1.2581,1.2753,1.2542,1.2675,1005837.5
1774975500000,1.2675,1.2691,1.2591,1.2637,631954.6
1774976400000,1.2637,1.2723,1.2603,1.2711,615594.6
1774977300000,1.2711,1.2729,1.2661,1.269,520475.6
1774978200000,1.269,1.2704,1.2592,1.2618,553769.3
1774979100000,1.2618,1.2619,1.2542,1.2581,642951.9
1774980000000,1.2581,1.2641,1.2581,1.2623,176963.6
1774980900000,1.2623,1.2663,1.259,1.2611,358228.5
1774981800000,1.2611,1.2645,1.2588,1.264,160452.5
1774982700000,1.264,1.2645,1.26,1.2639,263814.4
1774983600000,1.2639,1.2691,1.2639,1.2678,320109.2
1774984500000,1.2678,1.2678,1.2632,1.2635,268167.7
1774985400000,1.2635,1.2641,1.2614,1.2638,186691.9
1774986300000,1.2638,1.2686,1.2632,1.2681,209744.9
1774987200000,1.2681,1.2699,1.2577,1.2637,940802.1
1774988100000,1.2637,1.2637,1.2589,1.2606,267763.7
1774989000000,1.2606,1.2627,1.2586,1.2608,285937.9
1774989900000,1.2608,1.2654,1.2602,1.2647,178819.3
1774990800000,1.2647,1.2648,1.2577,1.2597,538174.5
1774991700000,1.2597,1.2624,1.2579,1.2608,192300.7
1774992600000,1.2608,1.2636,1.2605,1.2616,196005.9
1774993500000,1.2616,1.2664,1.2603,1.2606,109549.4
1774994400000,1.2606,1.2613,1.2553,1.2575,256265.6
1774995300000,1.2575,1.2587,1.255,1.2555,112533.3
1774996200000,1.2555,1.2572,1.2504,1.2564,311766.0
1774997100000,1.2564,1.2564,1.2525,1.2532,110981.3
1774998000000,1.2532,1.2547,1.2506,1.2522,189712.2
1774998900000,1.2522,1.2546,1.2494,1.2536,215473.1
1774999800000,1.2536,1.2537,1.251,1.2515,163291.4
1775000700000,1.2515,1.2529,1.2493,1.2516,221537.5
1775001600000,1.2516,1.2534,1.25,1.2524,172673.2
1775002500000,1.2524,1.256,1.2515,1.2558,273125.2
1775003400000,1.2558,1.2558,1.2496,1.2526,258736.7
1775004300000,1.2526,1.256,1.2506,1.2551,187847.4
1775005200000,1.2551,1.2583,1.2545,1.2577,131293.8
1775006100000,1.2577,1.2577,1.2527,1.2527,104007.0
1775007000000,1.2527,1.2552,1.2494,1.2527,266387.4
1775007900000,1.2527,1.253,1.2487,1.2488,116727.5
1775008800000,1.2488,1.2506,1.247,1.2504,234416.5
1775009700000,1.2504,1.2526,1.2457,1.2474,288734.2
1775010600000,1.2474,1.2523,1.2466,1.2514,209224.3
1775011500000,1.2514,1.2529,1.2506,1.2517,175436.0
1775012400000,1.2517,1.2641,1.2517,1.2594,345898.7
1775013300000,1.2594,1.2601,1.2555,1.257,212927.8
1775014200000,1.257,1.2588,1.256,1.2584,145895.0
1775015100000,1.2584,1.2625,1.2584,1.2597,235926.2
1775016000000,1.2597,1.2638,1.2597,1.2615,429923.3
1775016900000,1.2615,1.2627,1.2594,1.2617,143878.1
1775017800000,1.2617,1.2667,1.2612,1.2648,284125.4
1775018700000,1.2648,1.2672,1.2631,1.2647,193634.8
1775019600000,1.2647,1.2653,1.2609,1.2647,203986.5
1775020500000,1.2647,1.2782,1.2638,1.2767,645677.3
1775021400000,1.2767,1.2825,1.2755,1.2783,536752.2
1775022300000,1.2783,1.2822,1.2783,1.2792,274384.8
1775023200000,1.2792,1.2971,1.2783,1.2956,590400.6
1775024100000,1.2956,1.2981,1.2878,1.2937,381658.3
1775025000000,1.2937,1.3004,1.2925,1.299,535156.8
1775025900000,1.299,1.3013,1.2955,1.2983,279634.0
1775026800000,1.2983,1.3002,1.2931,1.2945,260251.7
1775027700000,1.2945,1.2945,1.286,1.2874,344100.0
1775028600000,1.2874,1.2918,1.2874,1.2901,221560.5
1775029500000,1.2901,1.2904,1.2826,1.2864,421750.5
1775030400000,1.2864,1.2911,1.2826,1.2836,365890.3
1775031300000,1.2836,1.2839,1.2794,1.2828,325326.4
1775032200000,1.2828,1.2845,1.2801,1.2834,215714.4
1775033100000,1.2834,1.2838,1.2745,1.2786,483256.7
1775034000000,1.2786,1.2806,1.2725,1.2744,383919.0
1775034900000,1.2744,1.2774,1.2729,1.2765,224554.2
1775035800000,1.2765,1.2813,1.2765,1.2807,180608.0
1775036700000,1.2807,1.2846,1.2792,1.2813,148904.8
1775037600000,1.2813,1.2823,1.2797,1.2805,100254.2
1775038500000,1.2805,1.2814,1.2775,1.2781,194400.8
1775039400000,1.2781,1.2794,1.2754,1.2784,208540.7
1775040300000,1.2784,1.2819,1.2757,1.2787,245765.2
1775041200000,1.2787,1.2787,1.2733,1.2747,270331.9
1775042100000,1.2747,1.2747,1.2692,1.2695,302344.6
1775043000000,1.2695,1.2729,1.2679,1.272,359761.7
1775043900000,1.272,1.2765,1.272,1.2748,125127.7
1775044800000,1.2748,1.2804,1.2717,1.2776,205197.3
1775045700000,1.2776,1.2799,1.2734,1.2765,271815.7
1775046600000,1.2765,1.293,1.2728,1.2899,670281.7
1775047500000,1.2899,1.2912,1.278,1.279,855260.6
1775048400000,1.279,1.28,1.274,1.2779,371890.8
1775049300000,1.2779,1.2831,1.2779,1.2805,197843.3
1775050200000,1.2805,1.2805,1.2641,1.268,541550.4
1775051100000,1.268,1.2737,1.266,1.2703,275531.9
1775052000000,1.2703,1.2737,1.2686,1.2727,228216.9
1775052900000,1.2727,1.2743,1.2674,1.2707,349619.8
1775053800000,1.2707,1.2722,1.2648,1.2683,268157.4
1775054700000,1.2683,1.2729,1.2682,1.2709,177260.7
1775055600000,1.2709,1.2727,1.2656,1.266,224469.7
1775056500000,1.266,1.2677,1.2625,1.2659,303213.8
1775057400000,1.2659,1.2685,1.2639,1.2656,231958.9
1775058300000,1.2656,1.275,1.2656,1.2749,243557.9
1775059200000,1.2749,1.275,1.2683,1.2692,392674.0
1775060100000,1.2692,1.2785,1.268,1.2767,325599.2
1775061000000,1.2767,1.2803,1.2739,1.278,431068.3
1775061900000,1.278,1.2785,1.2731,1.2756,259051.5
1775062800000,1.2756,1.2832,1.275,1.2776,495766.5
1775063700000,1.2776,1.279,1.2695,1.2701,315641.2
1775064600000,1.2701,1.2756,1.2689,1.2741,310358.3
1775065500000,1.2741,1.2741,1.2695,1.2711,158110.5
1775066400000,1.2711,1.2719,1.2621,1.2672,678933.8
1775067300000,1.2672,1.2688,1.2649,1.2663,277183.7
1775068200000,1.2663,1.2691,1.2645,1.2669,202946.2
1775069100000,1.2669,1.267,1.2572,1.2591,403420.1
1775070000000,1.2591,1.2614,1.2576,1.2582,223889.9
1775070900000,1.2582,1.2648,1.2562,1.2644,240467.5
1775071800000,1.2644,1.2661,1.2627,1.2628,190971.4
1775072700000,1.2628,1.2664,1.2621,1.2641,167629.3
1775073600000,1.2641,1.2641,1.2587,1.2612,246537.6
1775074500000,1.2612,1.2639,1.258,1.258,175620.1
1775075400000,1.258,1.2622,1.2548,1.2622,283213.4
1775076300000,1.2622,1.2631,1.2599,1.2601,122944.2
1775077200000,1.2601,1.268,1.2601,1.2663,310754.5
1775078100000,1.2663,1.2681,1.2643,1.2664,171454.2
1775079000000,1.2664,1.2698,1.2646,1.2654,318006.1
1775079900000,1.2654,1.2671,1.2614,1.2644,67326.4
1775080800000,1.2644,1.2646,1.2597,1.2612,263053.8
1775081700000,1.2612,1.2612,1.256,1.2569,231213.7
1775082600000,1.2569,1.2569,1.2526,1.2549,397902.5
1775083500000,1.2549,1.2551,1.2505,1.2531,233338.3
1775084400000,1.2531,1.256,1.2522,1.2554,220157.8
1775085300000,1.2554,1.2562,1.2524,1.2561,225701.1
1775086200000,1.2561,1.2561,1.2516,1.2516,193424.6
1775087100000,1.2516,1.2565,1.2516,1.2549,284141.8
1775088000000,1.2549,1.2595,1.2547,1.2583,361180.8
1775088900000,1.2583,1.2601,1.2567,1.2577,293398.2
1775089800000,1.2577,1.2678,1.257,1.2678,503468.9
1775090700000,1.2678,1.2688,1.262,1.2648,242401.3
1775091600000,1.2648,1.2653,1.2433,1.2558,1320890.5
1775092500000,1.2558,1.2558,1.2393,1.2428,978608.7
1775093400000,1.2428,1.2428,1.2321,1.2329,755577.2
1775094300000,1.2329,1.2399,1.2297,1.2373,475653.2
1775095200000,1.2373,1.2373,1.2269,1.2276,506779.8
1775096100000,1.2276,1.2276,1.2128,1.2206,1385602.8
1775097000000,1.2206,1.2256,1.2174,1.2178,433781.5
1775097900000,1.2178,1.2277,1.2171,1.2271,198408.2
1775098800000,1.2271,1.2283,1.223,1.223,181727.6
1775099700000,1.223,1.2278,1.2208,1.2261,225553.8
1775100600000,1.2261,1.2283,1.2088,1.2148,770792.3
1775101500000,1.2148,1.2173,1.2132,1.2165,318032.0
1775102400000,1.2165,1.2189,1.2132,1.2173,322432.2
1775103300000,1.2173,1.2214,1.2173,1.2201,263143.4
1775104200000,1.2201,1.2225,1.2162,1.2169,223502.6
1775105100000,1.2169,1.2182,1.2155,1.2167,174057.2
1775106000000,1.2167,1.2195,1.2121,1.2149,338301.2
1775106900000,1.2149,1.2178,1.2119,1.213,194512.0
1775107800000,1.213,1.2193,1.213,1.2188,321653.7
1775108700000,1.2188,1.2194,1.2156,1.2182,221000.8
1775109600000,1.2182,1.2192,1.2161,1.2181,135105.7
1775110500000,1.2181,1.2227,1.2171,1.2178,212281.5
1775111400000,1.2178,1.2202,1.2161,1.2189,158769.3
