start,open,high,low,close,volume
1774742400000,2.218,2.223,2.215,2.218,61211.4
1774743300000,2.218,2.22,2.211,2.217,110522.3
1774744200000,2.217,2.221,2.21,2.211,50957.7
1774745100000,2.211,2.221,2.209,2.218,137929.1
1774746000000,2.218,2.235,2.218,2.232,64857.5
1774746900000,2.232,2.236,2.231,2.235,17808.8
1774747800000,2.235,2.236,2.226,2.23,12069.5
1774748700000,2.23,2.231,2.226,2.23,24398.5
1774749600000,2.23,2.23,2.226,2.228,6909.7
1774750500000,2.228,2.229,2.224,2.227,16983.5
1774751400000,2.227,2.233,2.225,2.232,3440.9
1774752300000,2.232,2.237,2.231,2.234,13109.9
1774753200000,2.234,2.235,2.233,2.234,6698.8
1774754100000,2.234,2.245,2.233,2.24,22668.6
1774755000000,2.24,2.242,2.237,2.24,2464.1
1774755900000,2.24,2.242,2.239,2.242,9678.4
1774756800000,2.242,2.242,2.239,2.24,3797.4
1774757700000,2.24,2.242,2.238,2.238,9022.8
1774758600000,2.238,2.24,2.237,2.239,5457.2
1774759500000,2.239,2.242,2.237,2.237,29976.5
1774760400000,2.237,2.238,2.23,2.232,21683.8
1774761300000,2.232,2.236,2.229,2.23,63760.7
1774762200000,2.23,2.23,2.229,2.229,2244.2
1774763100000,2.229,2.236,2.229,2.232,21323.7
1774764000000,2.232,2.236,2.231,2.234,2948.6
1774764900000,2.234,2.234,2.224,2.227,13554.9
1774765800000,2.227,2.228,2.226,2.228,13024.5
1774766700000,2.228,2.233,2.228,2.232,26758.0
1774767600000,2.232,2.232,2.222,2.223,10148.6
1774768500000,2.223,2.227,2.222,2.226,4616.9
1774769400000,2.226,2.227,2.221,2.223,7950.2
1774770300000,2.223,2.226,2.22,2.222,13318.4
1774771200000,2.222,2.226,2.218,2.222,13505.3
1774772100000,2.222,2.228,2.222,2.228,19366.3
1774773000000,2.228,2.229,2.226,2.227,3516.8
1774773900000,2.227,2.229,2.225,2.227,14437.6
1774774800000,2.227,2.231,2.222,2.228,42364.7
1774775700000,2.228,2.23,2.227,2.23,13390.2
1774776600000,2.23,2.233,2.223,2.226,62467.9
1774777500000,2.226,2.228,2.225,2.225,5781.1
1774778400000,2.225,2.225,2.219,2.22,11539.7
1774779300000,2.22,2.22,2.215,2.215,7493.1
1774780200000,2.215,2.217,2.21,2.214,24669.7
1774781100000,2.214,2.218,2.214,2.217,13286.5
1774782000000,2.217,2.232,2.217,2.228,45127.9
1774782900000,2.228,2.229,2.225,2.226,10291.1
1774783800000,2.226,2.23,2.224,2.23,10819.4
1774784700000,2.23,2.233,2.226,2.227,21336.4
1774785600000,2.227,2.227,2.222,2.222,7261.5
1774786500000,2.222,2.226,2.221,2.223,19097.0
1774787400000,2.223,2.224,2.215,2.215,31271.7
1774788300000,2.215,2.22,2.213,2.219,11368.9
1774789200000,2.219,2.22,2.209,2.213,47409.9
1774790100000,2.213,2.222,2.211,2.221,20816.2
1774791000000,2.221,2.224,2.22,2.222,27217.2
1774791900000,2.222,2.223,2.216,2.216,36352.0
1774792800000,2.216,2.225,2.211,2.219,50858.5
1774793700000,2.219,2.22,2.214,2.216,10701.8
1774794600000,2.216,2.223,2.216,2.22,23251.9
1774795500000,2.22,2.22,2.216,2.219,29948.7
1774796400000,2.219,2.224,2.215,2.219,35196.2
1774797300000,2.219,2.223,2.211,2.213,35636.5
1774798200000,2.213,2.217,2.212,2.215,18688.3
1774799100000,2.215,2.219,2.214,2.218,4997.9
1774800000000,2.218,2.224,2.218,2.221,20477.5
1774800900000,2.221,2.226,2.218,2.221,54801.9
1774801800000,2.221,2.221,2.21,2.21,25438.6
1774802700000,2.21,2.215,2.21,2.213,47635.6
1774803600000,2.213,2.216,2.211,2.211,5569.7
1774804500000,2.211,2.212,2.204,2.208,107101.0
1774805400000,2.208,2.213,2.207,2.213,17659.8
1774806300000,2.213,2.213,2.211,2.213,3944.4
1774807200000,2.213,2.213,2.205,2.207,44066.4
1774808100000,2.207,2.21,2.204,2.208,17599.5
1774809000000,2.208,2.219,2.208,2.219,23016.0
1774809900000,2.219,2.219,2.215,2.215,7088.0
1774810800000,2.215,2.216,2.21,2.211,11106.8
1774811700000,2.211,2.215,2.211,2.214,10994.0
1774812600000,2.214,2.216,2.211,2.214,8883.5
1774813500000,2.214,2.216,2.213,2.214,10537.9
1774814400000,2.214,2.221,2.213,2.219,12765.8
1774815300000,2.219,2.231,2.219,2.226,10706.0
1774816200000,2.226,2.227,2.22,2.22,8302.5
1774817100000,2.22,2.223,2.218,2.223,3177.0
1774818000000,2.223,2.229,2.221,2.224,39444.5
1774818900000,2.224,2.226,2.224,2.225,2450.7
1774819800000,2.225,2.228,2.224,2.228,4807.9
1774820700000,2.228,2.232,2.223,2.226,26651.7
1774821600000,2.226,2.226,2.21,2.215,13688.1
1774822500000,2.215,2.219,2.213,2.216,6655.1
1774823400000,2.216,2.216,2.18,2.185,154693.6
1774824300000,2.185,2.195,2.145,2.192,417095.7
1774825200000,2.192,2.207,2.189,2.197,72849.4
1774826100000,2.197,2.205,2.194,2.194,36254.2
1774827000000,2.194,2.198,2.189,2.195,23927.1
1774827900000,2.195,2.202,2.188,2.197,26377.4
1774828800000,2.197,2.202,2.195,2.201,12731.8
1774829700000,2.201,2.238,2.201,2.224,269159.3
1774830600000,2.224,2.229,2.207,2.209,28078.0
1774831500000,2.209,2.212,2.201,2.209,20136.8
1774832400000,2.209,2.223,2.209,2.215,24024.7
1774833300000,2.215,2.224,2.214,2.222,22670.4
1774834200000,2.222,2.227,2.219,2.223,16503.9
1774835100000,2.223,2.229,2.222,2.225,20373.5
1774836000000,2.225,2.235,2.224,2.233,20270.8
1774836900000,2.233,2.234,2.223,2.225,14034.3
1774837800000,2.225,2.235,2.22,2.235,18002.7
1774838700000,2.235,2.248,2.234,2.237,66350.8
1774839600000,2.237,2.238,2.23,2.23,35552.7
1774840500000,2.23,2.239,2.229,2.238,17292.0
1774841400000,2.238,2.239,2.234,2.236,5677.6
1774842300000,2.236,2.244,2.236,2.24,6974.5
1774843200000,2.24,2.249,2.236,2.244,89684.4
1774844100000,2.244,2.248,2.24,2.244,21676.0
1774845000000,2.244,2.247,2.243,2.245,13208.8
1774845900000,2.245,2.251,2.243,2.25,25900.4
1774846800000,2.25,2.254,2.249,2.251,29148.3
1774847700000,2.251,2.254,2.25,2.251,10836.1
1774848600000,2.251,2.252,2.243,2.246,13955.1
1774849500000,2.246,2.247,2.239,2.244,109911.8
1774850400000,2.244,2.252,2.243,2.246,30154.2
1774851300000,2.246,2.247,2.24,2.241,13815.4
1774852200000,2.241,2.243,2.239,2.242,13527.8
1774853100000,2.242,2.255,2.241,2.251,68519.4
1774854000000,2.251,2.256,2.247,2.253,18271.6
1774854900000,2.253,2.255,2.249,2.251,21679.0
1774855800000,2.251,2.254,2.248,2.248,9403.9
1774856700000,2.248,2.269,2.248,2.266,32386.6
1774857600000,2.266,2.274,2.265,2.274,45772.5
1774858500000,2.274,2.276,2.272,2.272,17816.9
1774859400000,2.272,2.28,2.271,2.272,47540.4
1774860300000,2.272,2.273,2.262,2.264,12172.8
1774861200000,2.264,2.265,2.256,2.256,14657.0
1774862100000,2.256,2.258,2.252,2.253,17470.5
1774863000000,2.253,2.254,2.246,2.248,17250.0
1774863900000,2.248,2.252,2.248,2.251,11272.0
1774864800000,2.251,2.252,2.248,2.251,10843.8
1774865700000,2.251,2.255,2.251,2.252,4269.0
1774866600000,2.252,2.255,2.248,2.253,32673.3
1774867500000,2.253,2.261,2.253,2.259,5973.6
1774868400000,2.259,2.263,2.258,2.262,13541.8
1774869300000,2.262,2.284,2.258,2.264,169637.4
1774870200000,2.264,2.267,2.261,2.264,17335.6
1774871100000,2.264,2.269,2.263,2.266,13067.7
1774872000000,2.266,2.269,2.265,2.268,16482.4
1774872900000,2.268,2.272,2.266,2.266,22712.2
1774873800000,2.266,2.269,2.261,2.265,13114.9
1774874700000,2.265,2.268,2.262,2.267,7695.2
1774875600000,2.267,2.267,2.26,2.266,12695.5
1774876500000,2.266,2.27,2.261,2.262,24014.1
1774877400000,2.262,2.265,2.251,2.253,29887.5
1774878300000,2.253,2.256,2.242,2.245,78545.5
1774879200000,2.245,2.253,2.243,2.25,19196.5
1774880100000,2.25,2.251,2.24,2.24,26476.2
1774881000000,2.24,2.244,2.232,2.236,42024.3
1774881900000,2.236,2.255,2.236,2.25,25772.4
1774882800000,2.25,2.254,2.241,2.245,24632.1
1774883700000,2.245,2.255,2.241,2.255,18876.9
1774884600000,2.255,2.268,2.253,2.263,46690.5
1774885500000,2.263,2.268,2.26,2.263,31771.4
1774886400000,2.263,2.269,2.262,2.268,23907.8
1774887300000,2.268,2.269,2.263,2.267,22953.9
1774888200000,2.267,2.273,2.264,2.268,23777.3
1774889100000,2.268,2.278,2.267,2.278,17908.2
1774890000000,2.278,2.281,2.269,2.269,22758.3
1774890900000,2.269,2.27,2.247,2.252,44226.5
1774891800000,2.252,2.265,2.251,2.265,23575.7
1774892700000,2.265,2.267,2.25,2.251,24057.3
1774893600000,2.251,2.255,2.244,2.247,30528.6
1774894500000,2.247,2.247,2.234,2.238,27281.2
1774895400000,2.238,2.246,2.236,2.241,30874.6
1774896300000,2.241,2.242,2.227,2.231,37293.1
1774897200000,2.231,2.231,2.217,2.223,26082.1
1774898100000,2.223,2.224,2.217,2.218,8807.7
1774899000000,2.218,2.224,2.218,2.22,8196.2
1774899900000,2.22,2.234,2.219,2.232,14222.5
1774900800000,2.232,2.234,2.229,2.23,14504.3
1774901700000,2.23,2.23,2.224,2.224,5822.9
1774902600000,2.224,2.229,2.222,2.229,6904.1
1774903500000,2.229,2.232,2.224,2.232,33688.3
1774904400000,2.232,2.243,2.231,2.243,39158.8
1774905300000,2.243,2.253,2.239,2.247,30175.8
1774906200000,2.247,2.253,2.247,2.252,35980.3
1774907100000,2.252,2.252,2.247,2.248,7693.2
1774908000000,2.248,2.252,2.238,2.244,18024.6
1774908900000,2.244,2.247,2.241,2.244,9012.3
1774909800000,2.244,2.245,2.243,2.245,8721.5
1774910700000,2.245,2.245,2.239,2.244,1896.8
1774911600000,2.244,2.244,2.228,2.233,32727.9
1774912500000,2.233,2.237,2.23,2.237,8833.3
1774913400000,2.237,2.243,2.237,2.24,3402.4
1774914300000,2.24,2.244,2.237,2.244,16577.2
1774915200000,2.244,2.245,2.24,2.244,13274.9
1774916100000,2.244,2.248,2.24,2.247,11306.4
1774917000000,2.247,2.247,2.24,2.247,8599.6
1774917900000,2.247,2.254,2.246,2.249,16356.2
1774918800000,2.249,2.258,2.246,2.257,12240.6
1774919700000,2.257,2.283,2.256,2.278,115654.3
1774920600000,2.278,2.281,2.266,2.267,129889.4
1774921500000,2.267,2.272,2.265,2.269,31221.6
1774922400000,2.269,2.271,2.266,2.268,10118.1
1774923300000,2.268,2.27,2.266,2.267,30652.2
1774924200000,2.267,2.269,2.264,2.266,8146.6
1774925100000,2.266,2.269,2.263,2.265,12102.7
1774926000000,2.265,2.265,2.261,2.261,7836.6
1774926900000,2.261,2.263,2.254,2.258,14531.6
1774927800000,2.258,2.261,2.257,2.26,7101.7
1774928700000,2.26,2.263,2.259,2.263,13640.1
1774929600000,2.263,2.268,2.263,2.267,45824.9
1774930500000,2.267,2.272,2.26,2.262,35834.7
1774931400000,2.262,2.265,2.262,2.263,4284.8
1774932300000,2.263,2.266,2.259,2.259,13189.8
1774933200000,2.259,2.262,2.256,2.261,12882.4
1774934100000,2.261,2.265,2.259,2.263,25976.9
1774935000000,2.263,2.263,2.259,2.259,6512.7
1774935900000,2.259,2.265,2.259,2.263,6484.8
1774936800000,2.263,2.268,2.259,2.267,13074.1
1774937700000,2.267,2.27,2.262,2.263,7967.3
1774938600000,2.263,2.264,2.26,2.264,13492.0
1774939500000,2.264,2.277,2.264,2.277,13322.0
1774940400000,2.277,2.277,2.266,2.267,26893.1
1774941300000,2.267,2.27,2.26,2.267,20669.8
1774942200000,2.267,2.274,2.267,2.274,16849.8
1774943100000,2.274,2.283,2.274,2.283,19737.9
1774944000000,2.283,2.285,2.275,2.276,20633.1
1774944900000,2.276,2.282,2.275,2.277,12051.9
1774945800000,2.277,2.278,2.255,2.255,37780.4
