start,open,high,low,close,volume
1774742400000,0.219,0.21934,0.21585,0.21585,91385.0
1774743300000,0.21585,0.21613,0.21475,0.21551,47681.0
1774744200000,0.21551,0.21712,0.21551,0.21695,29238.0
1774745100000,0.21695,0.21745,0.21639,0.21726,26538.0
1774746000000,0.21726,0.22116,0.21717,0.2188,163810.0
1774746900000,0.2188,0.22015,0.21869,0.21883,44585.0
1774747800000,0.21883,0.21913,0.21767,0.21805,31980.0
1774748700000,0.21805,0.21816,0.21739,0.21765,18160.0
1774749600000,0.21765,0.21765,0.21556,0.21591,39421.0
1774750500000,0.21591,0.21675,0.21539,0.21642,35977.0
1774751400000,0.21642,0.21708,0.21638,0.21676,16321.0
1774752300000,0.21676,0.21676,0.21545,0.2155,9820.0
1774753200000,0.2155,0.21687,0.215,0.21594,45889.0
1774754100000,0.21594,0.2176,0.21584,0.21673,14063.0
1774755000000,0.21673,0.21713,0.21562,0.21606,34239.0
1774755900000,0.21606,0.21606,0.21503,0.21593,39677.0
1774756800000,0.21593,0.21811,0.21561,0.21685,65923.0
1774757700000,0.21685,0.21831,0.21677,0.21782,14042.0
1774758600000,0.21782,0.21985,0.21721,0.21917,33684.0
1774759500000,0.21917,0.21917,0.21709,0.21777,25367.0
1774760400000,0.21777,0.21802,0.21747,0.21768,24535.0
1774761300000,0.21768,0.21781,0.21675,0.21713,28125.0
1774762200000,0.21713,0.21848,0.21704,0.21835,50110.0
1774763100000,0.21835,0.21859,0.21741,0.21752,30201.0
1774764000000,0.21752,0.21752,0.21605,0.21626,39526.0
1774764900000,0.21626,0.21779,0.21626,0.217,36232.0
1774765800000,0.217,0.21731,0.21632,0.21658,22986.0
1774766700000,0.21658,0.21792,0.21633,0.21765,17448.0
1774767600000,0.21765,0.21789,0.21671,0.21784,30472.0
1774768500000,0.21784,0.21995,0.21773,0.21939,92046.0
1774769400000,0.21939,0.21942,0.21811,0.21886,38184.0
1774770300000,0.21886,0.21943,0.21796,0.21796,42364.0
1774771200000,0.21796,0.21924,0.21776,0.21838,59945.0
1774772100000,0.21838,0.21887,0.21804,0.21864,33376.0
1774773000000,0.21864,0.21915,0.21829,0.21913,29301.0
1774773900000,0.21913,0.22051,0.21913,0.22008,44244.0
