start,open,high,low,close,volume
1774742400000,53.81,53.88,53.79,53.79,1378.3
1774743300000,53.79,53.82,53.7,53.8,3040.4
1774744200000,53.8,53.88,53.75,53.8,1788.3
1774745100000,53.8,53.9,53.79,53.9,1881.4
1774746000000,53.9,53.97,53.86,53.95,4804.9
1774746900000,53.95,54.08,53.94,54.04,3331.6
1774747800000,54.04,54.06,53.93,54.0,832.6
1774748700000,54.0,54.03,53.94,53.99,986.3
1774749600000,53.99,54.04,53.97,54.04,578.1
1774750500000,54.04,54.08,54.02,54.07,552.9
1774751400000,54.07,54.13,54.03,54.07,1419.6
1774752300000,54.07,54.14,54.05,54.09,966.6
1774753200000,54.09,54.14,54.08,54.12,671.7
1774754100000,54.12,54.35,54.11,54.3,5211.7
1774755000000,54.3,54.32,54.19,54.22,2188.6
1774755900000,54.22,54.27,54.22,54.26,1364.1
1774756800000,54.26,54.27,54.18,54.18,1273.9
1774757700000,54.18,54.18,54.07,54.08,2286.9
1774758600000,54.08,54.12,54.04,54.1,753.8
1774759500000,54.1,54.17,54.07,54.15,1029.2
1774760400000,54.15,54.15,54.04,54.04,542.6
1774761300000,54.04,54.07,53.98,54.05,4331.8
1774762200000,54.05,54.1,54.03,54.1,698.8
1774763100000,54.1,54.17,54.07,54.14,1231.1
1774764000000,54.14,54.24,54.13,54.23,603.1
1774764900000,54.23,54.23,54.04,54.08,1568.0
1774765800000,54.08,54.09,54.04,54.06,417.7
1774766700000,54.06,54.2,54.05,54.19,2172.3
1774767600000,54.19,54.19,53.93,53.98,10545.3
1774768500000,53.98,54.03,53.95,54.02,1720.8
1774769400000,54.02,54.04,53.98,54.0,885.3
1774770300000,54.0,54.11,54.0,54.03,1307.5
1774771200000,54.03,54.1,53.96,53.99,3388.9
1774772100000,53.99,54.0,53.86,53.91,7760.8
1774773000000,53.91,53.95,53.91,53.95,499.0
1774773900000,53.95,54.06,53.94,54.06,3736.2
1774774800000,54.06,54.06,53.93,53.96,2017.0
1774775700000,53.96,54.05,53.95,53.98,2680.6
1774776600000,53.98,53.99,53.86,53.97,8396.7
1774777500000,53.97,54.04,53.96,54.01,3459.8
1774778400000,54.01,54.01,53.77,53.81,4875.5
1774779300000,53.81,53.81,53.65,53.72,3790.4
1774780200000,53.72,53.75,53.66,53.69,5681.4
1774781100000,53.69,53.7,53.67,53.67,978.5
1774782000000,53.67,53.84,53.65,53.75,3626.2
1774782900000,53.75,53.87,53.75,53.86,2236.2
1774783800000,53.86,53.95,53.85,53.93,1588.7
1774784700000,53.93,53.97,53.83,53.84,1364.5
1774785600000,53.84,53.9,53.83,53.87,1927.0
1774786500000,53.87,53.9,53.8,53.8,2341.1
1774787400000,53.8,53.86,53.73,53.74,1146.0
1774788300000,53.74,53.88,53.71,53.85,1648.3
1774789200000,53.85,53.86,53.55,53.65,7566.8
1774790100000,53.65,53.77,53.58,53.73,2133.7
1774791000000,53.73,53.78,53.72,53.74,862.7
1774791900000,53.74,53.77,53.57,53.59,3957.7
1774792800000,53.59,53.82,53.51,53.7,7020.0
1774793700000,53.7,53.74,53.61,53.62,4057.8
1774794600000,53.62,53.66,53.57,53.61,3361.4
1774795500000,53.61,53.69,53.48,53.69,9419.0
1774796400000,53.69,53.8,53.61,53.64,6670.7
1774797300000,53.64,53.72,53.41,53.45,11620.5
1774798200000,53.45,53.47,53.35,53.46,5722.1
1774799100000,53.46,53.51,53.44,53.49,1281.0
1774800000000,53.49,53.49,53.39,53.39,2120.9
1774800900000,53.39,53.6,53.36,53.54,8846.8
1774801800000,53.54,53.55,53.4,53.41,1046.0
1774802700000,53.41,53.41,53.3,53.31,2696.3
1774803600000,53.31,53.35,53.11,53.16,8241.9
1774804500000,53.16,53.17,53.04,53.12,14452.6
1774805400000,53.12,53.28,53.1,53.28,3056.3
1774806300000,53.28,53.28,53.21,53.25,2110.4
1774807200000,53.25,53.25,53.14,53.23,1272.1
1774808100000,53.23,53.32,53.21,53.3,2647.0
1774809000000,53.3,53.44,53.3,53.38,4579.2
1774809900000,53.38,53.44,53.37,53.4,1095.1
1774810800000,53.4,53.4,53.34,53.37,685.6
1774811700000,53.37,53.38,53.32,53.33,1281.6
