start,open,high,low,close,volume
1774742400000,0.6724,0.6728,0.6717,0.6723,26924.9
1774743300000,0.6723,0.6728,0.6715,0.6725,39192.9
1774744200000,0.6725,0.6731,0.6718,0.6719,31306.0
1774745100000,0.6719,0.6729,0.6719,0.6725,23067.8
1774746000000,0.6725,0.6758,0.6725,0.674,167556.7
1774746900000,0.674,0.6746,0.6736,0.6736,29412.6
1774747800000,0.6736,0.6741,0.6722,0.6741,34687.5
1774748700000,0.6741,0.6746,0.6732,0.6741,49655.8
1774749600000,0.6741,0.6742,0.6737,0.6741,8891.3
1774750500000,0.6741,0.6751,0.6736,0.6743,23252.6
1774751400000,0.6743,0.6753,0.6736,0.6749,29462.0
1774752300000,0.6749,0.6752,0.6745,0.6747,11908.4
1774753200000,0.6747,0.6751,0.6744,0.6747,7991.3
1774754100000,0.6747,0.6766,0.6747,0.6758,52476.3
1774755000000,0.6758,0.676,0.6752,0.6752,6082.9
1774755900000,0.6752,0.676,0.6752,0.6757,12091.4
1774756800000,0.6757,0.676,0.6749,0.6751,11859.3
1774757700000,0.6751,0.6755,0.674,0.6753,54854.9
1774758600000,0.6753,0.6757,0.675,0.6751,26696.5
1774759500000,0.6751,0.6757,0.6743,0.6746,17186.1
1774760400000,0.6746,0.6747,0.674,0.6744,17633.8
1774761300000,0.6744,0.6745,0.6737,0.674,24115.6
1774762200000,0.674,0.6741,0.6736,0.674,12671.0
1774763100000,0.674,0.6745,0.673,0.6742,52724.3
1774764000000,0.6742,0.6751,0.674,0.6744,10774.7
1774764900000,0.6744,0.6746,0.6731,0.6738,18365.3
1774765800000,0.6738,0.6742,0.6734,0.6735,31389.8
1774766700000,0.6735,0.6747,0.6731,0.6741,65838.5
1774767600000,0.6741,0.6741,0.6724,0.6731,50048.9
1774768500000,0.6731,0.6755,0.6731,0.6745,92200.5
1774769400000,0.6745,0.6747,0.6738,0.6743,23454.9
1774770300000,0.6743,0.6748,0.6739,0.6743,32200.1
1774771200000,0.6743,0.6755,0.6731,0.6734,76046.5
1774772100000,0.6734,0.6739,0.673,0.6735,21645.7
1774773000000,0.6735,0.6771,0.6735,0.6746,166764.4
1774773900000,0.6746,0.6749,0.6737,0.6744,43972.9
1774774800000,0.6744,0.6756,0.6735,0.6748,157375.5
1774775700000,0.6748,0.6751,0.6741,0.6748,10500.2
1774776600000,0.6748,0.6753,0.6728,0.6734,53302.7
1774777500000,0.6734,0.6742,0.6732,0.6739,11084.5
