start,open,high,low,close,volume
1774742400000,2.1977,2.2016,2.1857,2.1956,28145.0
1774743300000,2.1956,2.2029,2.1936,2.1958,10606.0
1774744200000,2.1958,2.2166,2.1909,2.2064,13955.0
1774745100000,2.2064,2.2208,2.1981,2.2199,11854.0
1774746000000,2.2199,2.2333,2.2151,2.226,11727.0
1774746900000,2.226,2.2895,2.2236,2.2408,123072.0
1774747800000,2.2408,2.2445,2.2308,2.243,15367.0
1774748700000,2.243,2.2499,2.2388,2.2418,11234.0
1774749600000,2.2418,2.2427,2.2092,2.2236,33585.0
1774750500000,2.2236,2.2288,2.2133,2.2238,14943.0
1774751400000,2.2238,2.26,2.2238,2.2511,46151.0
1774752300000,2.2511,2.2838,2.2511,2.2676,45660.0
1774753200000,2.2676,2.2706,2.2585,2.2631,23927.0
1774754100000,2.2631,2.277,2.2561,2.2695,42936.0
1774755000000,2.2695,2.2773,2.2423,2.244,28022.0
1774755900000,2.244,2.2445,2.2009,2.2293,92543.0
1774756800000,2.2293,2.2334,2.224,2.227,34581.0
1774757700000,2.227,2.2274,2.2147,2.2193,30055.0
1774758600000,2.2193,2.2305,2.2149,2.2216,12800.0
1774759500000,2.2216,2.2216,2.2115,2.2183,6142.0
1774760400000,2.2183,2.2204,2.2115,2.2189,8279.0
1774761300000,2.2189,2.2281,2.2186,2.2216,19942.0
1774762200000,2.2216,2.2236,2.2106,2.213,5702.0
1774763100000,2.213,2.2279,2.2126,2.2279,4109.0
1774764000000,2.2279,2.2293,2.221,2.2237,1584.0
1774764900000,2.2237,2.2248,2.217,2.2177,2164.0
1774765800000,2.2177,2.219,2.1957,2.2124,40032.0
1774766700000,2.2124,2.2166,2.21,2.2138,7082.0
1774767600000,2.2138,2.2152,2.1993,2.2031,31189.0
1774768500000,2.2031,2.2112,2.2016,2.211,9316.0
1774769400000,2.211,2.2114,2.2006,2.2052,3892.0
1774770300000,2.2052,2.2109,2.2052,2.2077,2622.0
1774771200000,2.2077,2.2131,2.2035,2.2105,4142.0
1774772100000,2.2105,2.2158,2.2004,2.2045,9189.0
1774773000000,2.2045,2.2113,2.2024,2.2082,3941.0
1774773900000,2.2082,2.2153,2.2075,2.2105,2404.0
1774774800000,2.2105,2.2118,2.2043,2.2077,4810.0
1774775700000,2.2077,2.2161,2.2068,2.2149,10334.0
