start,open,high,low,close,volume
1774742400000,1.1725,1.1737,1.1681,1.1697,493629.5
1774743300000,1.1697,1.1713,1.163,1.1642,713371.4
1774744200000,1.1642,1.1666,1.1605,1.162,646815.6
1774745100000,1.162,1.165,1.161,1.1644,436220.2
1774746000000,1.1644,1.1714,1.1633,1.1703,524457.3
1774746900000,1.1703,1.1741,1.1694,1.1712,315140.7
1774747800000,1.1712,1.1718,1.1669,1.1686,164543.8
1774748700000,1.1686,1.1706,1.1651,1.1683,241077.8
1774749600000,1.1683,1.1691,1.1659,1.169,262800.2
1774750500000,1.169,1.1702,1.167,1.167,151779.0
1774751400000,1.167,1.1714,1.1656,1.1693,144215.3
1774752300000,1.1693,1.1703,1.167,1.1681,88199.8
1774753200000,1.1681,1.17,1.1681,1.1691,141351.0
1774754100000,1.1691,1.1762,1.1687,1.1755,298500.2
1774755000000,1.1755,1.1757,1.1711,1.1718,108568.8
1774755900000,1.1718,1.1724,1.1702,1.1703,109980.8
1774756800000,1.1703,1.1719,1.1688,1.1702,118061.9
1774757700000,1.1702,1.1702,1.168,1.1691,152947.5
1774758600000,1.1691,1.17,1.1678,1.1694,66226.9
1774759500000,1.1694,1.1699,1.1683,1.1689,66894.1
1774760400000,1.1689,1.169,1.1653,1.1663,117768.9
1774761300000,1.1663,1.171,1.1654,1.1689,164572.8
1774762200000,1.1689,1.1695,1.1663,1.1672,57333.3
1774763100000,1.1672,1.1709,1.1672,1.1696,75497.6
1774764000000,1.1696,1.1714,1.1693,1.1703,64023.0
1774764900000,1.1703,1.1714,1.1688,1.1695,66957.5
1774765800000,1.1695,1.1714,1.1693,1.1712,50460.1
1774766700000,1.1712,1.1723,1.1692,1.1692,83920.0
1774767600000,1.1692,1.1692,1.1646,1.1656,258000.0
1774768500000,1.1656,1.1663,1.1643,1.1659,95353.3
1774769400000,1.1659,1.1663,1.1633,1.1635,91585.1
1774770300000,1.1635,1.1645,1.1608,1.1616,316836.0
1774771200000,1.1616,1.164,1.1593,1.1617,233066.0
1774772100000,1.1617,1.1657,1.1598,1.1628,285364.7
1774773000000,1.1628,1.1657,1.1628,1.1639,226459.7
1774773900000,1.1639,1.1642,1.1622,1.1628,66040.2
1774774800000,1.1628,1.1635,1.1604,1.1621,198101.7
1774775700000,1.1621,1.1644,1.1612,1.164,161079.0
1774776600000,1.164,1.1657,1.1605,1.1612,505179.2
1774777500000,1.1612,1.1624,1.1609,1.1618,17860.9
1774778400000,1.1618,1.1628,1.1593,1.1605,122014.1
1774779300000,1.1605,1.1609,1.156,1.156,429952.0
1774780200000,1.156,1.1582,1.1517,1.1571,515407.1
1774781100000,1.1571,1.1582,1.1567,1.1576,99263.9
1774782000000,1.1576,1.1655,1.1575,1.1635,378178.5
1774782900000,1.1635,1.1662,1.1614,1.164,313275.8
1774783800000,1.164,1.1661,1.163,1.1653,159699.5
1774784700000,1.1653,1.1662,1.1625,1.1625,109014.0
1774785600000,1.1625,1.163,1.1589,1.1589,86284.7
1774786500000,1.1589,1.1593,1.155,1.1573,481914.8
1774787400000,1.1573,1.1591,1.1546,1.1564,223792.9
1774788300000,1.1564,1.1598,1.1552,1.1586,56665.4
1774789200000,1.1586,1.1591,1.1502,1.153,469549.2
1774790100000,1.153,1.159,1.1525,1.1582,351679.7
1774791000000,1.1582,1.1624,1.1579,1.1595,137020.6
1774791900000,1.1595,1.1602,1.1564,1.1574,148743.9
1774792800000,1.1574,1.1643,1.1561,1.1609,295849.9
1774793700000,1.1609,1.1632,1.1586,1.1605,383198.4
1774794600000,1.1605,1.1621,1.1588,1.1599,87473.8
1774795500000,1.1599,1.1608,1.1576,1.1588,120118.5
1774796400000,1.1588,1.1614,1.1553,1.1585,255485.6
1774797300000,1.1585,1.1601,1.1539,1.156,201050.0
1774798200000,1.156,1.1577,1.1549,1.1553,156773.5
1774799100000,1.1553,1.1587,1.1547,1.1587,36613.1
1774800000000,1.1587,1.1588,1.1552,1.1553,109927.1
1774800900000,1.1553,1.1613,1.1551,1.1603,181491.5
1774801800000,1.1603,1.1603,1.1527,1.1534,99543.4
1774802700000,1.1534,1.154,1.1514,1.1514,121495.6
1774803600000,1.1514,1.1552,1.151,1.1524,141869.5
1774804500000,1.1524,1.1532,1.1485,1.1525,380975.6
1774805400000,1.1525,1.1576,1.1517,1.1571,166484.4
1774806300000,1.1571,1.1574,1.1548,1.1556,190329.3
1774807200000,1.1556,1.1556,1.1517,1.1538,104952.0
1774808100000,1.1538,1.1565,1.1489,1.1519,194976.7
1774809000000,1.1519,1.158,1.1519,1.1568,245631.9
1774809900000,1.1568,1.1573,1.1555,1.1556,89398.7
1774810800000,1.1556,1.1582,1.1549,1.157,124655.9
1774811700000,1.157,1.1587,1.1557,1.156,95999.6
1774812600000,1.156,1.1573,1.1549,1.1562,72463.1
1774813500000,1.1562,1.1574,1.1557,1.1565,62583.3
1774814400000,1.1565,1.1619,1.1564,1.1602,96864.7
1774815300000,1.1602,1.1712,1.1602,1.1687,275058.8
1774816200000,1.1687,1.1696,1.1661,1.1678,214394.7
1774817100000,1.1678,1.1685,1.1666,1.1678,85343.8
1774818000000,1.1678,1.1702,1.1664,1.1689,137460.3
1774818900000,1.1689,1.1735,1.1684,1.1715,93957.3
1774819800000,1.1715,1.1736,1.1705,1.1712,90507.8
1774820700000,1.1712,1.1741,1.1711,1.1737,75269.1
1774821600000,1.1737,1.1737,1.1613,1.1645,236545.6
1774822500000,1.1645,1.1666,1.1626,1.1632,128793.2
1774823400000,1.1632,1.1635,1.1416,1.1496,1158429.9
1774824300000,1.1496,1.1592,1.1285,1.1574,2223229.7
1774825200000,1.1574,1.1675,1.1568,1.1603,591146.7
1774826100000,1.1603,1.1649,1.1584,1.1588,298929.3
1774827000000,1.1588,1.1608,1.1558,1.1608,304951.5
1774827900000,1.1608,1.1654,1.1572,1.1635,423316.6
1774828800000,1.1635,1.1663,1.1625,1.1646,351796.2
1774829700000,1.1646,1.1881,1.1643,1.1777,945363.5
1774830600000,1.1777,1.1793,1.1681,1.1689,226141.7
1774831500000,1.1689,1.1704,1.1647,1.169,274277.2
1774832400000,1.169,1.1769,1.1683,1.1703,273502.6
1774833300000,1.1703,1.1744,1.1688,1.1732,248373.0
1774834200000,1.1732,1.175,1.1695,1.1717,212670.0
1774835100000,1.1717,1.1763,1.1717,1.1745,261652.6
1774836000000,1.1745,1.1838,1.1745,1.1833,402891.9
1774836900000,1.1833,1.1851,1.179,1.1806,253846.6
1774837800000,1.1806,1.1874,1.1789,1.1874,269823.1
1774838700000,1.1874,1.1972,1.1852,1.186,1154446.3
1774839600000,1.186,1.1886,1.1841,1.1848,294206.5
1774840500000,1.1848,1.1857,1.1831,1.1852,164569.2
1774841400000,1.1852,1.1866,1.1843,1.1866,67640.2
1774842300000,1.1866,1.1902,1.1857,1.1889,84549.9
1774843200000,1.1889,1.1915,1.186,1.1912,273650.1
1774844100000,1.1912,1.199,1.1901,1.1954,595835.2
1774845000000,1.1954,1.1997,1.1947,1.1964,322475.8
1774845900000,1.1964,1.2024,1.196,1.2002,226705.2
1774846800000,1.2002,1.2055,1.2,1.2034,357294.7
1774847700000,1.2034,1.2041,1.1983,1.1995,497907.1
1774848600000,1.1995,1.2015,1.1942,1.1943,374430.8
1774849500000,1.1943,1.1992,1.1933,1.1986,232571.8
1774850400000,1.1986,1.202,1.198,1.2003,301814.2
1774851300000,1.2003,1.2007,1.1982,1.2003,242028.5
1774852200000,1.2003,1.2004,1.194,1.1961,236687.3
1774853100000,1.1961,1.1975,1.195,1.1953,182527.2
1774854000000,1.1953,1.1983,1.1943,1.1945,285717.1
1774854900000,1.1945,1.1963,1.1924,1.1927,231007.4
1774855800000,1.1927,1.1956,1.1891,1.1952,191451.7
1774856700000,1.1952,1.2052,1.1951,1.2041,530997.3
1774857600000,1.2041,1.2086,1.2024,1.2072,362929.8
1774858500000,1.2072,1.2126,1.2064,1.2126,579008.2
1774859400000,1.2126,1.2218,1.2124,1.2187,784943.4
1774860300000,1.2187,1.2242,1.216,1.2195,897500.9
1774861200000,1.2195,1.2202,1.2102,1.2108,289008.9
1774862100000,1.2108,1.213,1.2036,1.2039,313314.7
1774863000000,1.2039,1.2049,1.2004,1.2046,254490.4
1774863900000,1.2046,1.2053,1.2001,1.2017,216854.4
1774864800000,1.2017,1.202,1.1939,1.1958,664902.3
1774865700000,1.1958,1.2016,1.1955,1.1978,245619.0
1774866600000,1.1978,1.198,1.1956,1.1962,182807.1
1774867500000,1.1962,1.2,1.1949,1.1977,161294.2
1774868400000,1.1977,1.2008,1.1972,1.1995,127191.2
1774869300000,1.1995,1.211,1.1972,1.1992,1078651.5
1774870200000,1.1992,1.2024,1.1972,1.1996,326982.1
1774871100000,1.1996,1.2015,1.199,1.1995,148996.8
1774872000000,1.1995,1.2043,1.1991,1.1996,176710.2
1774872900000,1.1996,1.2035,1.1995,1.2032,214101.8
1774873800000,1.2032,1.2071,1.2029,1.2046,151112.9
1774874700000,1.2046,1.2048,1.2016,1.2046,105389.1
1774875600000,1.2046,1.2067,1.2005,1.2045,281398.1
1774876500000,1.2045,1.2069,1.2011,1.2024,172667.0
1774877400000,1.2024,1.2037,1.1917,1.1936,554538.4
1774878300000,1.1936,1.1981,1.1918,1.1934,335279.1
1774879200000,1.1934,1.1936,1.1894,1.1914,206114.9
1774880100000,1.1914,1.1915,1.1813,1.1835,490760.2
1774881000000,1.1835,1.1854,1.177,1.1815,563608.5
1774881900000,1.1815,1.189,1.1797,1.1867,520501.8
1774882800000,1.1867,1.1884,1.1813,1.1817,268958.1
1774883700000,1.1817,1.1824,1.1763,1.1804,330415.3
1774884600000,1.1804,1.1838,1.1795,1.1818,174140.8
1774885500000,1.1818,1.1826,1.1793,1.1797,225774.6
1774886400000,1.1797,1.1807,1.1774,1.1787,360832.5
1774887300000,1.1787,1.1787,1.1729,1.1738,355083.0
1774888200000,1.1738,1.1751,1.1713,1.1736,246244.9
1774889100000,1.1736,1.1745,1.1685,1.1719,276214.3
1774890000000,1.1719,1.1745,1.1661,1.1668,329019.1
1774890900000,1.1668,1.167,1.1591,1.1619,670590.3
1774891800000,1.1619,1.1644,1.1559,1.1619,442242.9
1774892700000,1.1619,1.1671,1.1615,1.1649,401293.6
1774893600000,1.1649,1.1679,1.1636,1.1656,336981.4
1774894500000,1.1656,1.1661,1.1591,1.1623,393211.8
1774895400000,1.1623,1.1624,1.1532,1.158,759659.1
1774896300000,1.158,1.1594,1.1538,1.1594,281551.9
1774897200000,1.1594,1.1607,1.1513,1.1549,423205.3
1774898100000,1.1549,1.1549,1.1471,1.1512,770499.0
1774899000000,1.1512,1.1516,1.1474,1.1492,231609.2
1774899900000,1.1492,1.1547,1.1484,1.1531,276335.2
1774900800000,1.1531,1.1537,1.1512,1.1521,251975.0
1774901700000,1.1521,1.1524,1.1487,1.1488,90218.6
1774902600000,1.1488,1.1564,1.148,1.1563,438171.6
1774903500000,1.1563,1.1577,1.1546,1.1556,179344.0
1774904400000,1.1556,1.1691,1.155,1.1669,401889.9
1774905300000,1.1669,1.1738,1.1663,1.1666,419061.7
1774906200000,1.1666,1.1679,1.1644,1.1657,176952.3
1774907100000,1.1657,1.1682,1.1656,1.1669,143160.1
1774908000000,1.1669,1.1688,1.1619,1.1655,186238.9
1774908900000,1.1655,1.167,1.1641,1.1648,132825.8
1774909800000,1.1648,1.1654,1.1624,1.1654,136436.2
1774910700000,1.1654,1.1654,1.163,1.1638,59061.2
1774911600000,1.1638,1.1638,1.1535,1.1576,374134.1
1774912500000,1.1576,1.161,1.1568,1.16,175849.6
1774913400000,1.16,1.1627,1.159,1.1605,123020.8
1774914300000,1.1605,1.161,1.1586,1.161,122350.7
1774915200000,1.161,1.163,1.1596,1.1621,206385.6
1774916100000,1.1621,1.1645,1.1594,1.1645,330208.3
1774917000000,1.1645,1.166,1.1618,1.1646,182852.9
1774917900000,1.1646,1.1705,1.1646,1.1704,297602.3
1774918800000,1.1704,1.1767,1.1696,1.1767,269036.5
1774919700000,1.1767,1.19,1.1767,1.1898,738054.6
1774920600000,1.1898,1.2027,1.1897,1.1935,1996701.6
1774921500000,1.1935,1.1951,1.1878,1.1899,532895.8
1774922400000,1.1899,1.1905,1.1855,1.188,228620.5
1774923300000,1.188,1.1909,1.1865,1.1879,259566.6
1774924200000,1.1879,1.1889,1.1829,1.1845,227070.0
1774925100000,1.1845,1.187,1.1808,1.1846,429791.7
1774926000000,1.1846,1.1846,1.1801,1.1822,193188.0
1774926900000,1.1822,1.1822,1.1783,1.1804,145684.6
1774927800000,1.1804,1.1809,1.1762,1.178,389936.3
1774928700000,1.178,1.1804,1.1775,1.1794,230454.4
1774929600000,1.1794,1.1815,1.1775,1.1788,332439.7
1774930500000,1.1788,1.1834,1.1766,1.1784,352268.1
1774931400000,1.1784,1.1799,1.1771,1.1774,134390.3
1774932300000,1.1774,1.1791,1.1763,1.1765,149524.1
1774933200000,1.1765,1.1777,1.1732,1.1746,262104.2
1774934100000,1.1746,1.1795,1.1744,1.1792,253398.5
1774935000000,1.1792,1.1794,1.1744,1.1754,156249.9
1774935900000,1.1754,1.18,1.1754,1.1782,150841.7
1774936800000,1.1782,1.1794,1.1759,1.1786,164300.5
1774937700000,1.1786,1.1793,1.175,1.1772,155788.0
1774938600000,1.1772,1.1783,1.1757,1.1777,136840.2
1774939500000,1.1777,1.1869,1.1777,1.1844,221671.2
1774940400000,1.1844,1.1865,1.1812,1.1822,282102.5
1774941300000,1.1822,1.1835,1.1777,1.1816,279277.6
1774942200000,1.1816,1.1853,1.1811,1.1825,185207.1
1774943100000,1.1825,1.1859,1.1825,1.1859,84725.8
1774944000000,1.1859,1.1871,1.1831,1.1842,295906.1
1774944900000,1.1842,1.1869,1.1837,1.1863,150314.5
1774945800000,1.1863,1.1863,1.177,1.1771,260364.7
1774946700000,1.1771,1.1793,1.1746,1.1759,238644.9
1774947600000,1.1759,1.1792,1.1741,1.1758,196431.4
1774948500000,1.1758,1.1763,1.166,1.1699,757001.1
1774949400000,1.1699,1.1714,1.1675,1.1711,333487.3
1774950300000,1.1711,1.1722,1.1615,1.1663,664677.5
1774951200000,1.1663,1.1726,1.1656,1.1718,307772.0
1774952100000,1.1718,1.173,1.169,1.1707,162347.8
1774953000000,1.1707,1.1709,1.1651,1.1674,346645.1
1774953900000,1.1674,1.169,1.1651,1.1654,282581.1
1774954800000,1.1654,1.1734,1.1636,1.1707,641742.7
1774955700000,1.1707,1.1766,1.1696,1.1713,443087.3
1774956600000,1.1713,1.1746,1.1692,1.1746,203890.7
1774957500000,1.1746,1.1758,1.1703,1.1747,256561.5
1774958400000,1.1747,1.1834,1.1747,1.1751,437752.6
1774959300000,1.1751,1.1783,1.172,1.1773,519990.3
