start,open,high,low,close,volume
1774742400000,83.39,83.54,83.36,83.51,10.97
1774743300000,83.51,83.51,83.21,83.38,52.79
1774744200000,83.38,83.55,83.38,83.45,50.85
1774745100000,83.45,83.68,83.45,83.67,9.34
1774746000000,83.67,83.96,83.67,83.91,81.25
1774746900000,83.91,84.0,83.88,83.91,8.51
1774747800000,83.91,83.91,83.6,83.74,9.58
1774748700000,83.74,83.9,83.69,83.84,16.57
1774749600000,83.84,83.96,83.83,83.96,4.24
1774750500000,83.96,83.99,83.94,83.94,0.97
1774751400000,83.94,84.0,83.84,84.0,0.42
1774752300000,84.0,84.1,83.87,83.87,96.27
1774753200000,83.87,83.99,83.87,83.99,3.2
1774754100000,83.99,84.34,83.97,84.18,56.4
1774755000000,84.18,84.32,84.18,84.31,4.92
1774755900000,84.31,84.37,84.2,84.36,12.48
1774756800000,84.36,84.57,84.29,84.57,21.37
1774757700000,84.57,84.57,84.36,84.46,17.34
1774758600000,84.46,85.88,84.46,85.58,1054.22
1774759500000,85.58,85.59,84.64,84.84,646.54
1774760400000,84.84,85.12,84.6,84.66,169.2
1774761300000,84.66,85.09,84.57,84.82,173.91
1774762200000,84.82,85.64,84.82,85.11,261.81
1774763100000,85.11,85.26,84.99,85.18,133.39
1774764000000,85.18,85.19,84.95,84.95,55.88
1774764900000,84.95,84.95,84.61,84.79,89.99
1774765800000,84.79,84.98,84.79,84.98,29.01
1774766700000,84.98,85.23,84.9,85.07,66.64
1774767600000,85.07,85.13,84.99,85.02,25.83
1774768500000,85.02,86.88,84.98,85.98,1549.12
1774769400000,85.98,85.98,85.64,85.78,108.09
1774770300000,85.78,85.89,85.66,85.69,100.95
1774771200000,85.69,85.69,85.4,85.45,59.38
1774772100000,85.45,85.57,85.42,85.47,17.27
1774773000000,85.47,85.58,85.45,85.51,12.74
1774773900000,85.51,85.65,85.42,85.42,60.36
1774774800000,85.42,85.47,85.21,85.41,49.12
1774775700000,85.41,85.52,85.41,85.45,18.55
1774776600000,85.45,85.69,85.27,85.33,204.1
1774777500000,85.33,85.53,85.33,85.41,7.64
1774778400000,85.41,85.41,84.92,85.21,214.43
1774779300000,85.21,85.28,84.93,85.07,77.3
1774780200000,85.07,85.12,84.92,85.02,54.09
1774781100000,85.02,85.21,84.9,85.02,95.79
1774782000000,85.02,85.64,85.02,85.47,43.34
1774782900000,85.47,85.47,85.32,85.33,342.82
1774783800000,85.33,85.37,85.23,85.33,8.67
1774784700000,85.33,85.44,85.19,85.24,32.08
1774785600000,85.24,85.26,85.14,85.16,14.12
1774786500000,85.16,85.21,85.1,85.21,5.26
1774787400000,85.21,85.45,85.21,85.25,120.68
1774788300000,85.25,85.33,84.91,85.23,219.68
1774789200000,85.23,85.25,84.46,84.72,418.9
1774790100000,84.72,84.79,84.52,84.77,45.5
1774791000000,84.77,84.85,84.65,84.69,32.21
1774791900000,84.69,84.73,84.41,84.48,139.4
1774792800000,84.48,85.02,84.22,84.62,564.79
1774793700000,84.62,84.7,84.33,84.43,84.64
1774794600000,84.43,84.54,84.18,84.21,210.13
1774795500000,84.21,84.39,84.14,84.39,90.11
1774796400000,84.39,84.58,84.28,84.28,94.46
1774797300000,84.28,84.51,83.95,84.0,131.5
1774798200000,84.0,84.15,84.0,84.12,54.39
1774799100000,84.12,84.37,84.12,84.37,40.95
1774800000000,84.37,84.37,84.25,84.3,2.72
1774800900000,84.3,84.67,84.3,84.53,103.74
1774801800000,84.53,84.53,84.37,84.45,10.77
1774802700000,84.45,84.57,84.4,84.57,32.11
1774803600000,84.57,84.62,84.45,84.45,15.72
1774804500000,84.45,84.45,83.96,84.07,151.06
1774805400000,84.07,84.35,84.05,84.35,68.21
1774806300000,84.35,84.36,84.27,84.27,7.84
1774807200000,84.27,84.28,84.11,84.18,67.86
1774808100000,84.18,84.31,84.05,84.05,35.75
1774809000000,84.05,84.4,84.05,84.19,75.29
1774809900000,84.19,84.19,84.11,84.11,5.27
1774810800000,84.11,84.13,84.05,84.05,2.92
1774811700000,84.05,84.07,83.96,84.02,2.24
1774812600000,84.02,84.08,83.92,83.95,13.59
1774813500000,83.95,84.0,83.73,83.92,63.52
1774814400000,83.92,84.02,83.88,83.91,17.48
1774815300000,83.91,84.18,83.91,84.02,13.75
1774816200000,84.02,84.02,83.9,83.9,6.09
1774817100000,83.9,83.94,83.82,83.94,7.31
1774818000000,83.94,84.11,83.94,84.05,10.91
1774818900000,84.05,84.09,84.05,84.09,0.01
1774819800000,84.09,84.22,84.06,84.06,22.53
1774820700000,84.06,84.22,84.06,84.22,7.2
1774821600000,84.22,84.24,83.68,83.74,67.94
1774822500000,83.74,84.04,83.74,83.94,14.91
1774823400000,83.94,83.94,83.14,83.16,402.52
1774824300000,83.16,83.22,81.78,83.06,2031.87
1774825200000,83.06,83.49,83.0,83.44,470.28
1774826100000,83.44,83.68,83.28,83.4,67.83
1774827000000,83.4,83.52,83.19,83.36,155.38
1774827900000,83.36,83.58,83.0,83.36,189.42
1774828800000,83.36,83.58,83.26,83.52,58.11
1774829700000,83.52,84.4,83.41,84.14,491.63
1774830600000,84.14,84.36,83.8,83.81,73.75
1774831500000,83.81,84.02,83.61,83.77,32.5
1774832400000,83.77,84.07,83.77,83.94,21.88
1774833300000,83.94,84.3,83.9,84.26,25.79
1774834200000,84.26,84.35,84.14,84.15,16.66
1774835100000,84.15,84.41,84.15,84.24,14.48
1774836000000,84.24,84.54,84.2,84.35,70.75
1774836900000,84.35,84.37,84.09,84.11,27.81
1774837800000,84.11,84.4,84.08,84.4,25.71
1774838700000,84.4,84.92,84.4,84.53,279.46
1774839600000,84.53,84.62,84.37,84.45,24.95
1774840500000,84.45,84.62,84.45,84.62,14.78
1774841400000,84.62,84.67,84.58,84.64,13.36
1774842300000,84.64,84.8,84.64,84.75,19.32
1774843200000,84.75,84.99,84.75,84.99,7.5
1774844100000,84.99,85.07,84.78,84.92,57.0
1774845000000,84.92,85.07,84.87,84.91,7.64
1774845900000,84.91,85.1,84.91,85.0,25.2
1774846800000,85.0,85.17,84.95,85.08,43.78
1774847700000,85.08,85.08,84.85,85.03,116.96
1774848600000,85.03,85.09,84.85,84.85,58.94
1774849500000,84.85,84.96,84.83,84.88,51.02
1774850400000,84.88,85.04,84.77,84.78,16.39
1774851300000,84.78,84.82,84.75,84.82,1.1
1774852200000,84.82,85.17,84.81,85.12,77.55
1774853100000,85.12,85.12,84.93,84.93,33.32
1774854000000,84.93,85.12,84.93,85.02,9.86
1774854900000,85.02,85.11,85.01,85.05,23.64
1774855800000,85.05,85.08,85.0,85.0,14.49
1774856700000,85.0,85.26,85.0,85.1,53.15
1774857600000,85.1,85.31,85.08,85.23,17.73
1774858500000,85.23,85.33,85.1,85.11,24.34
1774859400000,85.11,85.31,85.11,85.25,11.85
1774860300000,85.25,85.25,84.96,84.96,50.22
1774861200000,84.96,84.96,84.84,84.92,1.5
1774862100000,84.92,84.94,84.76,84.76,5.86
