start,open,high,low,close,volume
1766966400000,0.06412,0.06433,0.06404,0.06404,93520.0
1766967300000,0.06404,0.06438,0.06378,0.06435,117040.0
1766968200000,0.06435,0.06461,0.0643,0.06447,112150.0
1766969100000,0.06447,0.06464,0.06436,0.06436,158030.0
1766970000000,0.06436,0.06438,0.06404,0.06422,71650.0
1766970900000,0.06422,0.06457,0.06409,0.06409,97730.0
1766971800000,0.06409,0.06448,0.06404,0.06423,146040.0
1766972700000,0.06423,0.06447,0.06423,0.06433,49070.0
1766973600000,0.06433,0.06486,0.06433,0.06486,135040.0
1766974500000,0.06486,0.06513,0.06481,0.06507,535000.0
1766975400000,0.06507,0.06507,0.06461,0.06461,209600.0
1766976300000,0.06461,0.06485,0.06461,0.06483,63940.0
1766977200000,0.06483,0.06483,0.06457,0.06479,53370.0
1766978100000,0.06479,0.0648,0.06467,0.06474,20920.0
1766979000000,0.06474,0.06503,0.06472,0.06499,42660.0
1766979900000,0.06499,0.06504,0.06489,0.06496,26810.0
1766980800000,0.06496,0.06503,0.06474,0.06484,57880.0
1766981700000,0.06484,0.06506,0.06484,0.06495,41570.0
1766982600000,0.06495,0.06507,0.06487,0.06498,32430.0
1766983500000,0.06498,0.06505,0.06496,0.065,37830.0
1766984400000,0.065,0.06503,0.06481,0.06494,110670.0
1766985300000,0.06494,0.06494,0.06479,0.06489,38890.0
1766986200000,0.06489,0.06505,0.06488,0.06499,33210.0
1766987100000,0.06499,0.06505,0.06379,0.06424,3920570.0
1766988000000,0.06424,0.06442,0.06419,0.06435,521770.0
1766988900000,0.06435,0.06444,0.06432,0.06444,107350.0
1766989800000,0.06444,0.06449,0.0644,0.06445,117360.0
1766990700000,0.06445,0.06445,0.06415,0.06423,262570.0
1766991600000,0.06423,0.0644,0.06403,0.0643,138410.0
1766992500000,0.0643,0.06441,0.06425,0.06434,130560.0
1766993400000,0.06434,0.06442,0.06419,0.06423,163390.0
1766994300000,0.06423,0.06442,0.06423,0.06429,131300.0
1766995200000,0.06429,0.0643,0.06402,0.0641,124870.0
1766996100000,0.0641,0.0641,0.06389,0.06396,197440.0
1766997000000,0.06396,0.064,0.06377,0.06382,234440.0
1766997900000,0.06382,0.06382,0.06347,0.06354,280300.0
1766998800000,0.06354,0.06359,0.06343,0.06348,234470.0
1766999700000,0.06348,0.06348,0.06337,0.06346,72460.0
1767000600000,0.06346,0.06346,0.06258,0.06265,1798610.0
1767001500000,0.06265,0.06296,0.06261,0.06291,310270.0
1767002400000,0.06291,0.06295,0.06197,0.0622,1056080.0
1767003300000,0.0622,0.06227,0.06175,0.06188,1139430.0
1767004200000,0.06188,0.06234,0.06178,0.06226,361500.0
1767005100000,0.06226,0.06251,0.0622,0.06237,517580.0
1767006000000,0.06237,0.06243,0.06222,0.06242,136410.0
1767006900000,0.06242,0.06248,0.06224,0.06229,101250.0
1767007800000,0.06229,0.06241,0.06227,0.06241,84610.0
1767008700000,0.06241,0.06241,0.06212,0.06219,49590.0
1767009600000,0.06219,0.06224,0.06185,0.06202,663530.0
1767010500000,0.06202,0.06202,0.06147,0.06176,493050.0
1767011400000,0.06176,0.06176,0.06147,0.06152,185480.0
1767012300000,0.06152,0.06166,0.06143,0.06166,52060.0
1767013200000,0.06166,0.06172,0.06151,0.06151,66230.0
1767014100000,0.06151,0.06169,0.06146,0.06162,92490.0
