start,open,high,low,close,volume
1774742400000,315.19,317.0,314.95,316.12,3251.874
1774743300000,316.12,316.95,314.13,316.21,1806.717
1774744200000,316.21,317.81,314.67,314.74,2703.989
1774745100000,314.74,317.54,314.74,317.43,1930.733
1774746000000,317.43,320.05,316.9,319.33,4625.016
1774746900000,319.33,319.86,317.82,319.73,2255.67
1774747800000,319.73,319.93,317.37,318.42,2211.941
1774748700000,318.42,319.41,317.08,317.28,2215.455
1774749600000,317.28,317.85,315.62,316.84,2315.732
1774750500000,316.84,317.28,315.94,317.27,1417.936
1774751400000,317.27,319.31,317.27,318.74,1831.756
1774752300000,318.74,320.77,318.53,318.95,3885.223
1774753200000,318.95,318.96,316.8,317.65,2015.48
1774754100000,317.65,320.84,317.41,320.13,3049.312
1774755000000,320.13,321.32,319.43,320.11,2356.889
1774755900000,320.11,321.46,319.8,320.65,2719.061
1774756800000,320.65,321.71,319.38,321.15,2710.515
1774757700000,321.15,322.83,320.59,322.83,1758.865
1774758600000,322.83,323.63,321.89,322.18,3165.138
1774759500000,322.18,323.6,321.29,323.47,3363.025
1774760400000,323.47,324.2,321.78,321.97,3748.338
1774761300000,321.97,323.15,321.17,322.06,2320.193
1774762200000,322.06,322.38,320.11,320.55,2458.198
1774763100000,320.55,323.07,320.28,321.7,1880.048
1774764000000,321.7,322.67,321.46,322.44,786.31
1774764900000,322.44,324.7,319.27,320.2,6256.404
1774765800000,320.2,320.93,318.48,320.33,5048.747
1774766700000,320.33,323.06,319.29,319.56,4488.74
1774767600000,319.56,319.56,317.54,317.98,5957.956
1774768500000,317.98,318.96,317.35,318.96,1480.23
1774769400000,318.96,319.66,318.36,318.73,1428.576
1774770300000,318.73,320.32,318.05,318.77,2209.244
1774771200000,318.77,319.26,317.59,317.86,1274.495
1774772100000,317.86,318.98,317.31,318.68,1772.547
1774773000000,318.68,319.1,317.82,317.9,924.523
1774773900000,317.9,320.62,317.85,320.42,2524.45
1774774800000,320.42,320.5,318.36,319.35,2175.765
1774775700000,319.35,319.36,315.79,318.84,6213.89
1774776600000,318.84,319.49,317.65,318.35,2498.817
1774777500000,318.35,321.32,318.32,320.4,3951.065
1774778400000,320.4,320.63,318.25,318.66,1664.776
1774779300000,318.66,318.81,316.44,316.44,2928.405
1774780200000,316.44,317.46,315.7,317.42,2122.179
1774781100000,317.42,318.28,317.1,317.48,1564.366
1774782000000,317.48,320.86,317.48,320.07,4602.713
1774782900000,320.07,320.57,319.29,319.92,1347.248
1774783800000,319.92,320.35,319.19,319.89,1243.148
1774784700000,319.89,320.37,319.51,319.7,865.891
1774785600000,319.7,322.32,319.65,321.29,5230.299
1774786500000,321.29,323.3,320.81,322.66,3754.838
1774787400000,322.66,322.99,320.45,320.67,2577.583
1774788300000,320.67,322.32,320.09,321.45,1184.068
1774789200000,321.45,321.93,316.91,318.28,7898.234
1774790100000,318.28,319.41,317.55,318.81,2129.264
1774791000000,318.81,319.24,318.0,318.5,1411.766
1774791900000,318.5,318.59,317.64,317.65,2167.604
1774792800000,317.65,319.29,316.67,317.59,5177.152
1774793700000,317.59,317.92,316.45,316.53,2317.671
