start,open,high,low,close,volume
1774742400000,0.31631,0.31717,0.31631,0.31715,403034.0
1774743300000,0.31715,0.31718,0.3162,0.3162,427029.0
1774744200000,0.3162,0.31653,0.31556,0.3156,682872.0
1774745100000,0.3156,0.31591,0.31551,0.31578,367036.0
1774746000000,0.31578,0.31607,0.31545,0.31601,258373.0
1774746900000,0.31601,0.31725,0.31601,0.3167,426204.0
1774747800000,0.3167,0.31692,0.31626,0.31654,248647.0
1774748700000,0.31654,0.31689,0.3159,0.31596,993197.0
1774749600000,0.31596,0.31637,0.31596,0.3162,133949.0
1774750500000,0.3162,0.31624,0.31596,0.31596,88782.0
1774751400000,0.31596,0.31596,0.31552,0.31552,124810.0
1774752300000,0.31552,0.31573,0.31528,0.31554,149781.0
1774753200000,0.31554,0.31564,0.31505,0.31545,586969.0
1774754100000,0.31545,0.31579,0.31537,0.31549,205629.0
1774755000000,0.31549,0.31561,0.31521,0.31539,298158.0
1774755900000,0.31539,0.31539,0.31501,0.31505,113165.0
1774756800000,0.31505,0.31527,0.31489,0.31519,279661.0
1774757700000,0.31519,0.3152,0.31479,0.31487,145293.0
1774758600000,0.31487,0.31487,0.31459,0.3148,215940.0
1774759500000,0.3148,0.3152,0.31479,0.31508,150874.0
1774760400000,0.31508,0.31508,0.31471,0.31472,52573.0
1774761300000,0.31472,0.31578,0.31472,0.31563,236688.0
1774762200000,0.31563,0.31597,0.31553,0.31597,147432.0
1774763100000,0.31597,0.31634,0.31578,0.31613,183509.0
1774764000000,0.31613,0.31668,0.31579,0.31608,656496.0
1774764900000,0.31608,0.31616,0.31525,0.31562,241036.0
1774765800000,0.31562,0.31567,0.31511,0.31511,126320.0
1774766700000,0.31511,0.31545,0.31505,0.31506,172139.0
1774767600000,0.31506,0.31525,0.31476,0.31508,226776.0
1774768500000,0.31508,0.3153,0.31496,0.31509,93147.0
1774769400000,0.31509,0.31703,0.3149,0.31703,411007.0
1774770300000,0.31703,0.31811,0.31703,0.31757,1191136.0
1774771200000,0.31757,0.31817,0.31741,0.31805,937004.0
1774772100000,0.31805,0.31873,0.31797,0.31857,1228869.0
1774773000000,0.31857,0.31865,0.31824,0.31859,412654.0
1774773900000,0.31859,0.32078,0.31859,0.3193,4855167.0
1774774800000,0.3193,0.3197,0.3192,0.31968,697936.0
1774775700000,0.31968,0.31979,0.31947,0.3196,548695.0
1774776600000,0.3196,0.31972,0.31889,0.31928,818565.0
1774777500000,0.31928,0.32011,0.31919,0.3198,1168957.0
1774778400000,0.3198,0.31989,0.3192,0.31943,369452.0
1774779300000,0.31943,0.31956,0.31803,0.31829,1950034.0
1774780200000,0.31829,0.31832,0.31754,0.31829,1219095.0
1774781100000,0.31829,0.31846,0.31776,0.31846,147809.0
1774782000000,0.31846,0.31935,0.31846,0.31898,1185666.0
1774782900000,0.31898,0.3191,0.3188,0.31887,122327.0
1774783800000,0.31887,0.31923,0.31887,0.31903,305586.0
1774784700000,0.31903,0.31942,0.31903,0.3194,213237.0
1774785600000,0.3194,0.31958,0.31895,0.31922,258361.0
1774786500000,0.31922,0.3195,0.31916,0.31944,302029.0
1774787400000,0.31944,0.31978,0.31939,0.31955,205368.0
1774788300000,0.31955,0.31974,0.31934,0.31937,219390.0
1774789200000,0.31937,0.31977,0.31864,0.31918,410353.0
1774790100000,0.31918,0.31918,0.31821,0.31822,196881.0
1774791000000,0.31822,0.31866,0.31783,0.31843,2035429.0
1774791900000,0.31843,0.31875,0.31817,0.31817,260281.0
1774792800000,0.31817,0.31861,0.31812,0.31846,292597.0
1774793700000,0.31846,0.31875,0.3184,0.31867,335643.0
1774794600000,0.31867,0.31923,0.31863,0.31916,197520.0
1774795500000,0.31916,0.31978,0.3185,0.31881,647286.0
1774796400000,0.31881,0.31902,0.31842,0.31854,173013.0
1774797300000,0.31854,0.31859,0.31754,0.31775,734414.0
1774798200000,0.31775,0.3184,0.31746,0.31802,947156.0
1774799100000,0.31802,0.31824,0.3177,0.3177,221363.0
1774800000000,0.3177,0.31809,0.31753,0.31783,316426.0
1774800900000,0.31783,0.31794,0.3175,0.31789,477662.0
1774801800000,0.31789,0.31801,0.31753,0.3178,397133.0
1774802700000,0.3178,0.31794,0.31756,0.31785,372727.0
1774803600000,0.31785,0.31903,0.31766,0.31841,631363.0
1774804500000,0.31841,0.31917,0.31841,0.31847,527471.0
1774805400000,0.31847,0.3188,0.31776,0.31844,1090920.0
1774806300000,0.31844,0.3186,0.31812,0.31847,408696.0
1774807200000,0.31847,0.31875,0.31826,0.31875,117326.0
1774808100000,0.31875,0.3194,0.31869,0.31938,1184932.0
1774809000000,0.31938,0.3194,0.31909,0.31921,164612.0
1774809900000,0.31921,0.31939,0.31906,0.31939,40765.0
1774810800000,0.31939,0.31958,0.31928,0.31942,124796.0
1774811700000,0.31942,0.31963,0.31938,0.31953,166387.0
1774812600000,0.31953,0.31979,0.31953,0.31967,181915.0
1774813500000,0.31967,0.3201,0.31944,0.3201,449087.0
1774814400000,0.3201,0.32412,0.32009,0.32275,7399762.0
1774815300000,0.32275,0.3235,0.32254,0.32276,1020587.0
1774816200000,0.32276,0.32373,0.3227,0.32309,485256.0
1774817100000,0.32309,0.32358,0.32309,0.32338,394050.0
1774818000000,0.32338,0.32354,0.32262,0.32277,1607816.0
1774818900000,0.32277,0.32345,0.32276,0.32329,495709.0
1774819800000,0.32329,0.32355,0.32307,0.32354,337346.0
1774820700000,0.32354,0.32354,0.3229,0.32308,129813.0
1774821600000,0.32308,0.32353,0.32294,0.32349,494505.0
1774822500000,0.32349,0.32464,0.32349,0.3241,2474532.0
1774823400000,0.3241,0.32418,0.32208,0.32241,2255023.0
1774824300000,0.32241,0.32312,0.32135,0.32217,2723994.0
1774825200000,0.32217,0.32313,0.32201,0.32234,745060.0
1774826100000,0.32234,0.32247,0.3219,0.32222,363882.0
1774827000000,0.32222,0.32233,0.32168,0.32187,555221.0
1774827900000,0.32187,0.32201,0.32114,0.32158,622075.0
1774828800000,0.32158,0.32173,0.32107,0.32123,539122.0
