start,open,high,low,close,volume
1774742400000,3.38,3.389,3.377,3.379,27928.8
1774743300000,3.379,3.381,3.363,3.369,54303.0
1774744200000,3.369,3.375,3.367,3.371,18005.4
1774745100000,3.371,3.375,3.368,3.374,13577.1
1774746000000,3.374,3.389,3.374,3.382,37323.7
1774746900000,3.382,3.388,3.38,3.384,7932.2
1774747800000,3.384,3.386,3.377,3.383,5515.6
1774748700000,3.383,3.386,3.376,3.383,11466.1
1774749600000,3.383,3.387,3.38,3.386,7441.2
1774750500000,3.386,3.387,3.382,3.387,5584.3
1774751400000,3.387,3.394,3.382,3.392,5018.5
1774752300000,3.392,3.396,3.39,3.392,6225.0
1774753200000,3.392,3.395,3.391,3.391,2768.7
1774754100000,3.391,3.414,3.391,3.404,36967.2
1774755000000,3.404,3.406,3.401,3.402,15833.8
1774755900000,3.402,3.407,3.399,3.406,14195.1
1774756800000,3.406,3.407,3.403,3.406,14627.7
1774757700000,3.406,3.406,3.396,3.399,8848.0
1774758600000,3.399,3.4,3.39,3.393,14505.6
1774759500000,3.393,3.394,3.391,3.393,14735.8
1774760400000,3.393,3.394,3.383,3.385,10367.6
1774761300000,3.385,3.393,3.379,3.39,13256.5
1774762200000,3.39,3.392,3.387,3.387,6660.2
1774763100000,3.387,3.396,3.385,3.391,17123.4
1774764000000,3.391,3.398,3.39,3.398,5575.8
1774764900000,3.398,3.399,3.387,3.388,4790.4
1774765800000,3.388,3.391,3.387,3.39,1665.4
1774766700000,3.39,3.4,3.39,3.398,17148.2
1774767600000,3.398,3.398,3.386,3.393,55310.9
1774768500000,3.393,3.398,3.391,3.397,10843.8
1774769400000,3.397,3.399,3.393,3.395,3178.5
1774770300000,3.395,3.401,3.392,3.392,16477.8
1774771200000,3.392,3.393,3.383,3.386,17368.4
1774772100000,3.386,3.393,3.385,3.391,8826.1
1774773000000,3.391,3.397,3.391,3.394,7800.1
1774773900000,3.394,3.395,3.389,3.391,2578.2
1774774800000,3.391,3.395,3.386,3.395,7465.8
1774775700000,3.395,3.397,3.389,3.392,4399.4
1774776600000,3.392,3.392,3.375,3.378,81704.7
1774777500000,3.378,3.38,3.376,3.378,13099.5
1774778400000,3.378,3.378,3.367,3.369,26824.3
1774779300000,3.369,3.369,3.358,3.358,32966.4
1774780200000,3.358,3.361,3.353,3.36,13578.4
1774781100000,3.36,3.366,3.36,3.365,24203.5
1774782000000,3.365,3.384,3.363,3.376,28125.8
1774782900000,3.376,3.376,3.37,3.374,7563.5
1774783800000,3.374,3.382,3.372,3.381,10764.8
1774784700000,3.381,3.385,3.376,3.378,10470.0
1774785600000,3.378,3.378,3.373,3.373,6276.8
1774786500000,3.373,3.373,3.368,3.37,4203.5
1774787400000,3.37,3.372,3.363,3.363,7210.8
1774788300000,3.363,3.373,3.359,3.371,8358.9
1774789200000,3.371,3.374,3.336,3.347,113664.1
1774790100000,3.347,3.36,3.342,3.359,25869.4
1774791000000,3.359,3.366,3.359,3.361,7483.3
1774791900000,3.361,3.362,3.348,3.35,25131.9
1774792800000,3.35,3.376,3.347,3.367,62257.5
1774793700000,3.367,3.368,3.359,3.362,6008.6
1774794600000,3.362,3.369,3.358,3.36,15143.5
1774795500000,3.36,3.361,3.353,3.359,38848.3
1774796400000,3.359,3.368,3.355,3.361,39137.0
1774797300000,3.361,3.367,3.348,3.354,16971.7
1774798200000,3.354,3.355,3.348,3.351,6435.8
1774799100000,3.351,3.357,3.349,3.355,5740.9
1774800000000,3.355,3.358,3.354,3.355,2891.1
1774800900000,3.355,3.371,3.353,3.368,25265.7
1774801800000,3.368,3.368,3.361,3.361,5712.8
1774802700000,3.361,3.362,3.358,3.359,5147.0
1774803600000,3.359,3.365,3.355,3.355,3886.8
1774804500000,3.355,3.355,3.34,3.345,30763.1
1774805400000,3.345,3.359,3.341,3.358,12010.1
1774806300000,3.358,3.359,3.354,3.354,5263.4
1774807200000,3.354,3.354,3.345,3.352,10647.8
1774808100000,3.352,3.356,3.345,3.35,7596.2
1774809000000,3.35,3.367,3.35,3.362,13872.9
1774809900000,3.362,3.362,3.356,3.356,11088.0
1774810800000,3.356,3.356,3.351,3.355,5174.3
1774811700000,3.355,3.364,3.355,3.357,8663.5
1774812600000,3.357,3.359,3.351,3.353,4707.2
1774813500000,3.353,3.357,3.351,3.353,13594.9
1774814400000,3.353,3.365,3.351,3.362,9346.1
1774815300000,3.362,3.387,3.361,3.383,51643.5
1774816200000,3.383,3.39,3.382,3.387,33865.6
1774817100000,3.387,3.41,3.384,3.402,143954.9
1774818000000,3.402,3.427,3.36,3.372,321905.0
1774818900000,3.372,3.382,3.372,3.381,15274.7
1774819800000,3.381,3.39,3.376,3.38,42440.0
1774820700000,3.38,3.395,3.379,3.391,11204.1
1774821600000,3.391,3.392,3.364,3.371,18874.1
1774822500000,3.371,3.382,3.371,3.375,7664.2
1774823400000,3.375,3.38,3.313,3.328,178522.3
1774824300000,3.328,3.345,3.244,3.338,529314.1
1774825200000,3.338,3.364,3.334,3.354,108202.2
1774826100000,3.354,3.369,3.348,3.349,58411.2
1774827000000,3.349,3.356,3.343,3.351,27330.6
1774827900000,3.351,3.364,3.339,3.352,41582.6
1774828800000,3.352,3.364,3.351,3.359,26214.1
1774829700000,3.359,3.424,3.354,3.4,277175.2
1774830600000,3.4,3.411,3.377,3.382,34455.0
1774831500000,3.382,3.387,3.364,3.379,34359.2
1774832400000,3.379,3.4,3.378,3.387,38846.9
1774833300000,3.387,3.395,3.38,3.391,47665.6
1774834200000,3.391,3.402,3.387,3.393,35403.8
