start,open,high,low,close,volume
1774742400000,0.2686,0.2687,0.2667,0.2678,1031583.4
1774743300000,0.2678,0.2684,0.2673,0.2678,1288079.6
1774744200000,0.2678,0.2695,0.2675,0.2694,648175.9
1774745100000,0.2694,0.2711,0.2693,0.2706,1408395.1
1774746000000,0.2706,0.2744,0.2706,0.2728,3074235.3
1774746900000,0.2728,0.2744,0.2718,0.2722,1939494.9
1774747800000,0.2722,0.2722,0.2707,0.2715,825492.5
1774748700000,0.2715,0.2715,0.2689,0.2696,1539796.8
1774749600000,0.2696,0.2706,0.269,0.2703,838425.7
1774750500000,0.2703,0.272,0.27,0.272,746604.8
1774751400000,0.272,0.2735,0.2716,0.2732,620544.9
1774752300000,0.2732,0.2737,0.2716,0.2721,990127.1
1774753200000,0.2721,0.2724,0.271,0.2718,816649.6
1774754100000,0.2718,0.2746,0.2715,0.2735,1151975.2
1774755000000,0.2735,0.2737,0.2719,0.2723,669698.6
1774755900000,0.2723,0.2731,0.2721,0.2722,454156.5
1774756800000,0.2722,0.2728,0.2712,0.2714,494824.8
1774757700000,0.2714,0.2716,0.2707,0.2709,545473.6
1774758600000,0.2709,0.2732,0.2708,0.2722,1463398.5
1774759500000,0.2722,0.2732,0.2719,0.2729,516621.4
1774760400000,0.2729,0.2731,0.2723,0.273,858917.3
1774761300000,0.273,0.2738,0.2724,0.2733,587665.8
1774762200000,0.2733,0.274,0.2724,0.2729,633313.2
1774763100000,0.2729,0.2741,0.2724,0.2737,737122.9
1774764000000,0.2737,0.2745,0.2735,0.2745,464647.5
1774764900000,0.2745,0.275,0.2722,0.2733,2843606.3
1774765800000,0.2733,0.2754,0.2727,0.2749,1042332.9
1774766700000,0.2749,0.2783,0.2746,0.2778,5368863.7
1774767600000,0.2778,0.2778,0.275,0.2755,1414728.2
1774768500000,0.2755,0.2762,0.2743,0.2745,1387033.0
1774769400000,0.2745,0.2761,0.274,0.2743,807992.0
1774770300000,0.2743,0.2747,0.2731,0.2743,2441171.7
1774771200000,0.2743,0.2743,0.2724,0.2736,1612068.0
1774772100000,0.2736,0.2762,0.2735,0.276,495794.8
1774773000000,0.276,0.2769,0.275,0.275,1041872.6
1774773900000,0.275,0.2767,0.2748,0.2764,912814.2
1774774800000,0.2764,0.2764,0.273,0.2743,1717484.1
1774775700000,0.2743,0.2745,0.2735,0.2738,374414.6
1774776600000,0.2738,0.2748,0.2729,0.2744,717503.8
1774777500000,0.2744,0.2761,0.2744,0.2751,1684588.0
1774778400000,0.2751,0.2756,0.2728,0.2733,1466111.2
1774779300000,0.2733,0.2734,0.2718,0.2719,1331393.1
1774780200000,0.2719,0.2726,0.2716,0.2719,685086.3
1774781100000,0.2719,0.272,0.2706,0.2711,451318.8
1774782000000,0.2711,0.2749,0.2711,0.2745,1614204.4
1774782900000,0.2745,0.2763,0.2742,0.2752,2174432.2
1774783800000,0.2752,0.2765,0.2748,0.2759,1028938.4
1774784700000,0.2759,0.2764,0.2749,0.2749,1086818.2
1774785600000,0.2749,0.2751,0.2737,0.2737,1085751.6
1774786500000,0.2737,0.2737,0.2721,0.2722,612794.6
1774787400000,0.2722,0.2723,0.2701,0.2703,692229.1
1774788300000,0.2703,0.2724,0.2702,0.2718,1099593.9
1774789200000,0.2718,0.2727,0.2703,0.2725,1628193.3
1774790100000,0.2725,0.2737,0.2722,0.2728,960540.8
1774791000000,0.2728,0.2739,0.2727,0.2731,705101.2
1774791900000,0.2731,0.2739,0.2717,0.2719,856969.0
1774792800000,0.2719,0.2739,0.2706,0.2722,1885881.1
1774793700000,0.2722,0.2728,0.2716,0.272,594234.4
1774794600000,0.272,0.2725,0.2713,0.2723,252040.2
1774795500000,0.2723,0.2723,0.2717,0.2721,433894.4
1774796400000,0.2721,0.2731,0.2715,0.2723,927864.6
1774797300000,0.2723,0.2736,0.2711,0.2722,2015189.6
1774798200000,0.2722,0.2722,0.2711,0.2715,480032.9
1774799100000,0.2715,0.2738,0.2715,0.2736,3343098.8
1774800000000,0.2736,0.2739,0.2707,0.2711,2178565.5
1774800900000,0.2711,0.273,0.271,0.2721,539097.3
1774801800000,0.2721,0.2724,0.2706,0.2709,1530141.0
1774802700000,0.2709,0.2711,0.2696,0.2702,764671.6
1774803600000,0.2702,0.2725,0.2701,0.271,1105671.1
1774804500000,0.271,0.2714,0.27,0.2713,572471.5
1774805400000,0.2713,0.2725,0.2712,0.2722,524750.7
1774806300000,0.2722,0.2733,0.2716,0.2721,1101992.8
1774807200000,0.2721,0.2723,0.2707,0.2722,350480.4
1774808100000,0.2722,0.2728,0.2714,0.2725,396393.9
1774809000000,0.2725,0.2756,0.2725,0.2755,1151152.5
1774809900000,0.2755,0.2756,0.2743,0.2743,619631.2
1774810800000,0.2743,0.2744,0.2736,0.2738,270183.6
1774811700000,0.2738,0.2745,0.2733,0.2734,465137.4
1774812600000,0.2734,0.2741,0.2727,0.2732,511023.2
1774813500000,0.2732,0.2739,0.273,0.2734,261416.8
1774814400000,0.2734,0.2749,0.2732,0.274,599493.3
1774815300000,0.274,0.2762,0.2738,0.2749,630180.8
1774816200000,0.2749,0.2755,0.2744,0.275,373063.3
1774817100000,0.275,0.2756,0.2747,0.2751,202721.0
1774818000000,0.2751,0.2762,0.2747,0.2752,666382.9
1774818900000,0.2752,0.2753,0.2737,0.275,917812.1
1774819800000,0.275,0.2762,0.2748,0.2758,303350.8
1774820700000,0.2758,0.2763,0.2755,0.276,379955.1
1774821600000,0.276,0.2761,0.2732,0.2742,983628.9
1774822500000,0.2742,0.2748,0.2738,0.2745,439826.3
1774823400000,0.2745,0.2745,0.2705,0.271,3599399.4
1774824300000,0.271,0.2711,0.2622,0.2698,10053904.4
1774825200000,0.2698,0.2725,0.2695,0.272,4560486.8
1774826100000,0.272,0.273,0.2713,0.2714,1088322.1
1774827000000,0.2714,0.2715,0.2699,0.2704,952040.7
1774827900000,0.2704,0.272,0.2704,0.2716,1043165.8
1774828800000,0.2716,0.2729,0.2715,0.2716,1054346.1
1774829700000,0.2716,0.2767,0.2706,0.2751,5829207.1
1774830600000,0.2751,0.2763,0.2722,0.2725,1824443.4
1774831500000,0.2725,0.2739,0.2711,0.2737,1085736.4
1774832400000,0.2737,0.2756,0.2737,0.2745,788980.3
1774833300000,0.2745,0.2762,0.274,0.2759,1001599.2
1774834200000,0.2759,0.277,0.2752,0.2762,878120.3
1774835100000,0.2762,0.2795,0.2762,0.2787,3800082.4
1774836000000,0.2787,0.2808,0.2771,0.2798,2600072.4
1774836900000,0.2798,0.2804,0.2787,0.2795,914120.4
1774837800000,0.2795,0.2826,0.2789,0.2825,3460309.8
1774838700000,0.2825,0.2874,0.2824,0.2831,7541265.1
1774839600000,0.2831,0.284,0.2814,0.2819,4223713.5
1774840500000,0.2819,0.2852,0.2818,0.2834,1801934.0
1774841400000,0.2834,0.2845,0.2827,0.2831,1187031.8
1774842300000,0.2831,0.2836,0.2818,0.2824,724295.9
1774843200000,0.2824,0.2851,0.2824,0.2851,1555474.8
1774844100000,0.2851,0.2853,0.2827,0.2829,1716443.8
1774845000000,0.2829,0.2834,0.282,0.2831,1094744.9
1774845900000,0.2831,0.2852,0.2828,0.2836,738548.9
1774846800000,0.2836,0.2852,0.2832,0.2848,1035578.1
1774847700000,0.2848,0.2852,0.2832,0.2833,697945.0
1774848600000,0.2833,0.2837,0.2819,0.2819,360961.0
1774849500000,0.2819,0.2822,0.2803,0.2815,988791.3
1774850400000,0.2815,0.2823,0.2797,0.282,1742988.9
1774851300000,0.282,0.283,0.2809,0.2819,2017486.4
1774852200000,0.2819,0.2819,0.2809,0.2813,485645.0
1774853100000,0.2813,0.2823,0.2793,0.2796,969130.1
