start,open,high,low,close,volume
1766966400000,0.1445,0.145,0.1442,0.1448,910902.0
1766967300000,0.1448,0.1454,0.1445,0.1452,730155.0
1766968200000,0.1452,0.1455,0.145,0.145,499761.0
1766969100000,0.145,0.1454,0.145,0.1454,106399.0
1766970000000,0.1454,0.146,0.1451,0.1457,495577.0
1766970900000,0.1457,0.1459,0.1454,0.1456,418897.0
1766971800000,0.1456,0.1466,0.1456,0.1461,757320.0
1766972700000,0.1461,0.1463,0.1459,0.1459,258580.0
1766973600000,0.1459,0.1471,0.1459,0.1468,1766044.0
1766974500000,0.1468,0.149,0.1461,0.1478,2526326.0
1766975400000,0.1478,0.1478,0.147,0.1472,813081.0
1766976300000,0.1472,0.1476,0.1472,0.1476,721274.0
1766977200000,0.1476,0.1484,0.1474,0.1482,2515549.0
1766978100000,0.1482,0.1486,0.148,0.1483,2300057.0
1766979000000,0.1483,0.1496,0.1482,0.1494,1559724.0
1766979900000,0.1494,0.1498,0.149,0.1493,1135926.0
1766980800000,0.1493,0.1495,0.149,0.1495,687843.0
1766981700000,0.1495,0.1499,0.1493,0.1497,631477.0
1766982600000,0.1497,0.1512,0.1496,0.1503,2978627.0
1766983500000,0.1503,0.1503,0.1497,0.15,538620.0
1766984400000,0.15,0.15,0.1488,0.1492,1266148.0
1766985300000,0.1492,0.1492,0.1484,0.1484,837166.0
1766986200000,0.1484,0.1488,0.1479,0.1485,877641.0
1766987100000,0.1485,0.1488,0.1465,0.1473,3921243.0
1766988000000,0.1473,0.1476,0.1468,0.1469,607654.0
1766988900000,0.1469,0.1473,0.1467,0.1468,1791858.0
1766989800000,0.1468,0.1473,0.1466,0.1471,870848.0
1766990700000,0.1471,0.1472,0.1466,0.147,375699.0
1766991600000,0.147,0.1472,0.1461,0.1467,1406120.0
1766992500000,0.1467,0.1468,0.1464,0.1467,526198.0
1766993400000,0.1467,0.147,0.1465,0.1466,388969.0
1766994300000,0.1466,0.1471,0.1466,0.1471,201519.0
1766995200000,0.1471,0.1472,0.1468,0.1471,379343.0
1766996100000,0.1471,0.1472,0.1469,0.147,296567.0
1766997000000,0.147,0.1471,0.1457,0.1462,1473869.0
1766997900000,0.1462,0.1464,0.1458,0.1461,278240.0
1766998800000,0.1461,0.1462,0.1456,0.1462,351658.0
1766999700000,0.1462,0.1463,0.1458,0.146,590730.0
1767000600000,0.146,0.146,0.1442,0.1448,3073102.0
1767001500000,0.1448,0.1452,0.1442,0.1452,1179403.0
1767002400000,0.1452,0.1458,0.145,0.1455,651902.0
1767003300000,0.1455,0.1455,0.1451,0.1454,249813.0
1767004200000,0.1454,0.1454,0.145,0.1452,228391.0
1767005100000,0.1452,0.1453,0.1446,0.1448,724938.0
1767006000000,0.1448,0.1449,0.1442,0.1448,1100226.0
1767006900000,0.1448,0.1448,0.1443,0.1444,264845.0
1767007800000,0.1444,0.1444,0.144,0.1442,421942.0
1767008700000,0.1442,0.1444,0.1439,0.1441,653814.0
1767009600000,0.1441,0.1444,0.1419,0.1425,2933097.0
1767010500000,0.1425,0.1435,0.1415,0.1432,2319265.0
1767011400000,0.1432,0.1434,0.1428,0.1429,873152.0
1767012300000,0.1429,0.1429,0.142,0.1422,1564578.0
1767013200000,0.1422,0.1425,0.142,0.1423,348452.0
1767014100000,0.1423,0.1427,0.1422,0.1422,637471.0
1767015000000,0.1422,0.1425,0.1421,0.1424,387357.0
1767015900000,0.1424,0.1425,0.1418,0.142,347423.0
1767016800000,0.142,0.1421,0.1415,0.1421,1333329.0
1767017700000,0.1421,0.1421,0.1412,0.1419,846714.0
1767018600000,0.1419,0.1433,0.1416,0.1428,2793751.0
1767019500000,0.1428,0.1435,0.1418,0.1431,2926291.0
1767020400000,0.1431,0.1447,0.143,0.1444,4406835.0
1767021300000,0.1444,0.1445,0.1431,0.1432,1887070.0
1767022200000,0.1432,0.1437,0.1431,0.1436,735053.0
1767023100000,0.1436,0.1437,0.1427,0.1428,859601.0
1767024000000,0.1428,0.143,0.1426,0.1429,282250.0
1767024900000,0.1429,0.1429,0.1416,0.1418,1648872.0
1767025800000,0.1418,0.1421,0.1417,0.1419,151440.0
1767026700000,0.1419,0.1426,0.1419,0.1426,695935.0
1767027600000,0.1426,0.1432,0.1425,0.1432,321062.0
1767028500000,0.1432,0.1432,0.1426,0.1427,157587.0
1767029400000,0.1427,0.1429,0.1424,0.1425,404274.0
1767030300000,0.1425,0.1429,0.1425,0.1428,318294.0
1767031200000,0.1428,0.1432,0.1428,0.143,81494.0
1767032100000,0.143,0.1435,0.1428,0.143,736606.0
1767033000000,0.143,0.1433,0.1427,0.1429,233896.0
1767033900000,0.1429,0.1432,0.1426,0.1427,569445.0
1767034800000,0.1427,0.1436,0.1426,0.1434,645849.0
1767035700000,0.1434,0.1434,0.143,0.143,261329.0
1767036600000,0.143,0.1432,0.143,0.143,98277.0
1767037500000,0.143,0.1431,0.1429,0.1431,42903.0
1767038400000,0.1431,0.1432,0.1428,0.1432,209943.0
1767039300000,0.1432,0.1433,0.1427,0.1427,171344.0
1767040200000,0.1427,0.1429,0.1426,0.1426,172496.0
1767041100000,0.1426,0.1427,0.142,0.1425,2064572.0
1767042000000,0.1425,0.1431,0.1423,0.143,299424.0
1767042900000,0.143,0.143,0.1427,0.1428,592257.0
1767043800000,0.1428,0.1432,0.1426,0.1432,246425.0
1767044700000,0.1432,0.1434,0.143,0.1432,177602.0
1767045600000,0.1432,0.1432,0.1427,0.1428,421725.0
1767046500000,0.1428,0.1432,0.1428,0.1432,78731.0
1767047400000,0.1432,0.1433,0.1429,0.1433,187092.0
1767048300000,0.1433,0.1434,0.1431,0.1431,103723.0
1767049200000,0.1431,0.1432,0.1411,0.1422,1871948.0
1767050100000,0.1422,0.1423,0.1418,0.1419,322055.0
1767051000000,0.1419,0.142,0.1416,0.1418,386314.0
1767051900000,0.1418,0.142,0.1416,0.142,297297.0
1767052800000,0.142,0.1421,0.1416,0.1419,563771.0
1767053700000,0.1419,0.142,0.1412,0.1412,574060.0
1767054600000,0.1412,0.1414,0.1409,0.1414,756497.0
1767055500000,0.1414,0.1415,0.1412,0.1414,253196.0
1767056400000,0.1414,0.1415,0.141,0.141,388641.0
1767057300000,0.141,0.1413,0.1408,0.1413,154358.0
1767058200000,0.1413,0.1414,0.141,0.1414,281672.0
1767059100000,0.1414,0.1415,0.1412,0.1412,199303.0
1767060000000,0.1412,0.1414,0.1411,0.1413,183957.0
1767060900000,0.1413,0.1416,0.1409,0.1409,202024.0
1767061800000,0.1409,0.1414,0.1409,0.1414,750843.0
1767062700000,0.1414,0.1414,0.1412,0.1412,110003.0
1767063600000,0.1412,0.1414,0.141,0.1411,300467.0
1767064500000,0.1411,0.1419,0.1406,0.1416,524521.0
1767065400000,0.1416,0.1419,0.1415,0.1417,82025.0
1767066300000,0.1417,0.1422,0.1417,0.1418,262701.0
1767067200000,0.1418,0.1422,0.1416,0.1417,301757.0
1767068100000,0.1417,0.1424,0.1417,0.1421,217567.0
1767069000000,0.1421,0.1423,0.1421,0.1421,101919.0
1767069900000,0.1421,0.1423,0.1418,0.1418,230695.0
1767070800000,0.1418,0.1419,0.1409,0.1413,1410435.0
1767071700000,0.1413,0.1414,0.1408,0.1409,143655.0
1767072600000,0.1409,0.141,0.1404,0.1409,706035.0
1767073500000,0.1409,0.1412,0.1409,0.1412,88791.0
1767074400000,0.1412,0.1414,0.1411,0.1414,91537.0
1767075300000,0.1414,0.142,0.1413,0.1416,760011.0
1767076200000,0.1416,0.1422,0.1416,0.1421,285861.0
1767077100000,0.1421,0.1422,0.142,0.142,97764.0
1767078000000,0.142,0.1424,0.1418,0.1423,123367.0
1767078900000,0.1423,0.1426,0.1419,0.142,481683.0
1767079800000,0.142,0.1428,0.1419,0.1427,230853.0
1767080700000,0.1427,0.143,0.1421,0.1422,301021.0
