start,open,high,low,close,volume
1766966400000,1.8644,1.8671,1.8623,1.8645,776770.5
1766967300000,1.8645,1.8705,1.8619,1.8699,1006589.9
1766968200000,1.8699,1.877,1.8699,1.8731,3683723.1
1766969100000,1.8731,1.8769,1.8715,1.8729,1533552.3
1766970000000,1.8729,1.8741,1.8678,1.8698,1273873.0
1766970900000,1.8698,1.8736,1.8643,1.8722,1476986.4
1766971800000,1.8722,1.8854,1.87,1.8808,4859103.2
1766972700000,1.8808,1.885,1.88,1.8812,1679986.6
1766973600000,1.8812,1.8952,1.8812,1.8934,5979348.8
1766974500000,1.8934,1.8968,1.8869,1.8909,3503912.3
1766975400000,1.8909,1.895,1.8893,1.8893,1241245.8
1766976300000,1.8893,1.8925,1.8892,1.8914,1104983.7
1766977200000,1.8914,1.897,1.8905,1.8968,1275302.2
1766978100000,1.8968,1.899,1.8955,1.8987,1660793.9
1766979000000,1.8987,1.9162,1.8984,1.9124,6167881.4
1766979900000,1.9124,1.9167,1.91,1.9139,2448318.9
1766980800000,1.9139,1.9171,1.9093,1.9131,2533745.4
1766981700000,1.9131,1.9165,1.9094,1.9106,2421596.6
1766982600000,1.9106,1.9159,1.9097,1.9117,1596475.6
1766983500000,1.9117,1.9148,1.9105,1.9135,1295914.6
1766984400000,1.9135,1.9143,1.9107,1.9135,1493185.8
1766985300000,1.9135,1.9135,1.9064,1.9077,2941983.8
1766986200000,1.9077,1.9117,1.9057,1.9092,2797907.0
1766987100000,1.9092,1.9093,1.902,1.9021,1670738.6
1766988000000,1.9021,1.9053,1.8969,1.9045,3057031.7
1766988900000,1.9045,1.9081,1.9022,1.9023,1341064.8
1766989800000,1.9023,1.9052,1.9021,1.905,765821.7
1766990700000,1.905,1.905,1.9004,1.9011,971747.1
1766991600000,1.9011,1.9035,1.8918,1.8973,3640090.4
1766992500000,1.8973,1.8981,1.8909,1.8921,1969803.7
1766993400000,1.8921,1.8998,1.8921,1.8959,1390546.1
1766994300000,1.8959,1.9019,1.8958,1.9005,1016805.4
1766995200000,1.9005,1.9033,1.8974,1.9027,1574344.7
1766996100000,1.9027,1.9045,1.9013,1.904,1378249.1
1766997000000,1.904,1.9043,1.899,1.9012,1373224.1
1766997900000,1.9012,1.9018,1.896,1.8979,1188434.0
1766998800000,1.8979,1.8988,1.8953,1.8965,592804.7
1766999700000,1.8965,1.8982,1.8934,1.8941,766296.7
1767000600000,1.8941,1.8945,1.8702,1.8732,8630845.4
1767001500000,1.8732,1.8753,1.865,1.8752,6494002.7
1767002400000,1.8752,1.8823,1.8731,1.8787,2566687.4
1767003300000,1.8787,1.8791,1.8758,1.8772,1405624.5
1767004200000,1.8772,1.8778,1.8744,1.8775,1011605.8
1767005100000,1.8775,1.8795,1.8722,1.875,1473392.5
1767006000000,1.875,1.8761,1.872,1.8757,761062.6
1767006900000,1.8757,1.8762,1.8739,1.8745,943229.5
1767007800000,1.8745,1.8745,1.8722,1.8726,1471529.4
1767008700000,1.8726,1.8739,1.8706,1.8708,976614.3
1767009600000,1.8708,1.8731,1.8543,1.8599,9845299.6
1767010500000,1.8599,1.8671,1.8545,1.8643,4059344.6
1767011400000,1.8643,1.8678,1.8628,1.8653,2312656.2
1767012300000,1.8653,1.8676,1.8648,1.8662,865253.4
1767013200000,1.8662,1.8694,1.8645,1.8651,1507065.3
1767014100000,1.8651,1.8672,1.861,1.8619,1135394.2
1767015000000,1.8619,1.863,1.8592,1.8601,1515955.4
1767015900000,1.8601,1.8627,1.8569,1.8624,1398017.3
1767016800000,1.8624,1.8648,1.8601,1.8637,1792024.5
1767017700000,1.8637,1.8667,1.8587,1.8664,2147337.2
1767018600000,1.8664,1.8779,1.8634,1.8736,7924857.4
1767019500000,1.8736,1.8748,1.8634,1.8657,3208224.6
1767020400000,1.8657,1.8715,1.8624,1.8712,2164536.7
1767021300000,1.8712,1.8734,1.8668,1.8707,1228657.9
1767022200000,1.8707,1.8723,1.8654,1.8697,989208.3
1767023100000,1.8697,1.8699,1.8632,1.8642,1243477.4
1767024000000,1.8642,1.868,1.8627,1.8657,1284082.0
1767024900000,1.8657,1.8657,1.8572,1.86,2263607.8
1767025800000,1.86,1.8627,1.8594,1.8613,726394.5
1767026700000,1.8613,1.865,1.8601,1.8609,1002475.9
1767027600000,1.8609,1.8636,1.8605,1.8618,786456.0
1767028500000,1.8618,1.8648,1.8584,1.86,1122426.2
1767029400000,1.86,1.8611,1.8577,1.8601,796305.5
1767030300000,1.8601,1.8655,1.8601,1.8647,994806.9
1767031200000,1.8647,1.8671,1.8593,1.8609,1592113.8
1767032100000,1.8609,1.8651,1.8604,1.8611,1223296.7
1767033000000,1.8611,1.8628,1.858,1.8588,882845.7
1767033900000,1.8588,1.859,1.853,1.8543,2654983.8
1767034800000,1.8543,1.8577,1.8484,1.8557,4476749.5
1767035700000,1.8557,1.8586,1.8541,1.8549,658032.7
1767036600000,1.8549,1.8579,1.8522,1.8529,629427.9
1767037500000,1.8529,1.854,1.8505,1.8522,1012395.0
1767038400000,1.8522,1.8556,1.8493,1.8543,1417306.0
1767039300000,1.8543,1.8561,1.8476,1.8482,870368.0
1767040200000,1.8482,1.8506,1.8435,1.848,2720014.1
1767041100000,1.848,1.8498,1.8463,1.8484,1575800.9
1767042000000,1.8484,1.8511,1.8474,1.8507,1103627.9
1767042900000,1.8507,1.8507,1.8473,1.8484,750121.4
1767043800000,1.8484,1.853,1.8472,1.8526,469329.1
1767044700000,1.8526,1.8532,1.8515,1.8528,567301.6
