start,open,high,low,close,volume
1774742400000,213.46,213.85,212.99,213.0,2242.64
1774743300000,213.0,213.47,212.38,212.96,1005.98
1774744200000,212.96,213.59,212.79,213.12,928.78
1774745100000,213.12,213.88,213.04,213.86,689.07
1774746000000,213.86,214.5,213.7,214.11,1597.06
1774746900000,214.11,214.67,213.91,214.51,246.2
1774747800000,214.51,215.0,214.03,214.37,1321.07
1774748700000,214.37,214.37,213.25,214.03,2265.94
1774749600000,214.03,214.35,213.84,214.3,286.04
1774750500000,214.3,214.65,214.12,214.48,306.17
1774751400000,214.48,215.12,214.1,214.99,387.17
1774752300000,214.99,215.09,214.47,214.72,351.94
1774753200000,214.72,214.74,214.1,214.15,264.13
1774754100000,214.15,217.5,214.09,216.65,5822.9
1774755000000,216.65,219.32,216.65,217.97,5364.75
1774755900000,217.97,218.4,217.81,218.22,777.9
1774756800000,218.22,218.53,217.77,217.98,1315.07
1774757700000,217.98,218.3,217.22,217.45,1818.04
1774758600000,217.45,218.33,217.45,217.48,708.2
1774759500000,217.48,217.51,216.71,217.06,683.67
1774760400000,217.06,217.1,216.6,216.78,728.63
1774761300000,216.78,217.5,216.78,217.27,1108.26
1774762200000,217.27,217.54,216.82,217.2,562.41
1774763100000,217.2,218.27,216.85,217.3,825.59
1774764000000,217.3,218.14,217.13,217.87,534.66
1774764900000,217.87,219.26,217.44,217.72,2656.57
1774765800000,217.72,218.01,217.68,217.69,508.35
1774766700000,217.69,218.02,217.35,217.44,541.34
1774767600000,217.44,217.44,216.27,216.62,996.56
1774768500000,216.62,216.65,216.16,216.34,978.51
1774769400000,216.34,216.53,216.05,216.26,605.84
1774770300000,216.26,216.7,215.88,216.22,605.68
1774771200000,216.22,216.72,215.54,215.76,926.01
1774772100000,215.76,217.18,215.24,216.99,1296.45
1774773000000,216.99,217.5,216.99,217.32,466.37
1774773900000,217.32,217.36,216.69,216.96,535.74
1774774800000,216.96,217.27,216.47,217.19,395.44
1774775700000,217.19,217.27,216.35,216.97,510.52
1774776600000,216.97,217.37,216.16,216.21,1242.24
1774777500000,216.21,216.57,215.98,216.18,609.19
1774778400000,216.18,216.24,215.44,215.68,1243.11
1774779300000,215.68,215.68,214.29,214.34,1886.83
1774780200000,214.34,215.01,213.39,214.8,2380.7
1774781100000,214.8,215.17,214.58,214.67,1430.82
1774782000000,214.67,216.82,214.46,216.19,1974.72
1774782900000,216.19,216.2,215.54,215.95,963.82
1774783800000,215.95,216.6,215.87,216.09,1508.39
1774784700000,216.09,216.36,215.51,215.84,518.78
1774785600000,215.84,215.9,215.28,215.28,285.64
1774786500000,215.28,215.53,214.78,215.21,1859.42
1774787400000,215.21,215.57,214.53,214.55,797.98
1774788300000,214.55,215.19,214.27,214.69,743.94
1774789200000,214.69,214.76,212.88,213.61,3294.58
1774790100000,213.61,214.3,213.21,214.07,981.84
1774791000000,214.07,214.57,213.9,214.43,778.67
1774791900000,214.43,214.59,213.46,214.1,2436.13
1774792800000,214.1,215.69,213.39,214.88,2025.76
1774793700000,214.88,215.03,214.31,214.36,825.16
1774794600000,214.36,215.03,212.97,213.69,2174.91
1774795500000,213.69,213.92,213.13,213.81,1020.94
1774796400000,213.81,214.57,213.53,214.09,1549.54
1774797300000,214.09,214.75,212.91,213.59,1486.11
1774798200000,213.59,213.98,213.5,213.89,208.95
1774799100000,213.89,214.69,213.82,214.49,381.17
1774800000000,214.49,214.87,213.92,214.65,475.41
1774800900000,214.65,216.94,214.49,216.12,4197.65
1774801800000,216.12,216.13,215.47,215.68,1118.81
1774802700000,215.68,216.11,215.32,215.68,1082.38
1774803600000,215.68,218.45,215.68,217.14,4117.99
1774804500000,217.14,217.2,216.03,216.53,1512.61
1774805400000,216.53,217.18,216.36,217.14,946.11
1774806300000,217.14,217.22,216.42,217.08,879.64
1774807200000,217.08,217.15,215.94,216.56,969.03
1774808100000,216.56,217.36,216.52,216.63,586.78
1774809000000,216.63,217.74,216.3,217.06,651.37
1774809900000,217.06,217.08,216.51,216.53,342.6
1774810800000,216.53,217.03,216.32,216.88,313.2
1774811700000,216.88,216.88,215.91,216.11,467.78
1774812600000,216.11,217.0,216.1,216.33,1030.84
1774813500000,216.33,216.67,216.3,216.55,337.66
1774814400000,216.55,218.44,216.55,217.8,1012.18
1774815300000,217.8,220.27,217.35,219.18,4481.28
1774816200000,219.18,220.1,218.9,218.9,2300.85
1774817100000,218.9,219.24,218.42,218.84,847.61
1774818000000,218.84,220.5,218.84,219.56,2825.59
1774818900000,219.56,219.83,219.19,219.68,454.91
1774819800000,219.68,219.77,219.22,219.31,412.74
1774820700000,219.31,219.81,219.31,219.46,424.11
1774821600000,219.46,219.46,216.23,216.55,3519.79
1774822500000,216.55,216.94,215.8,216.53,1896.68
1774823400000,216.53,216.54,213.31,213.72,5901.76
1774824300000,213.72,213.73,207.18,212.74,30138.17
1774825200000,212.74,214.34,211.75,213.42,7959.48
1774826100000,213.42,214.73,213.16,213.41,1902.2
1774827000000,213.41,214.47,213.17,214.43,1690.29
1774827900000,214.43,215.32,213.69,214.81,3145.55
1774828800000,214.81,215.72,214.13,215.11,2330.5
1774829700000,215.11,220.32,214.49,218.26,10551.36
1774830600000,218.26,218.88,215.56,216.03,4257.0
1774831500000,216.03,216.76,215.27,215.93,2044.03
1774832400000,215.93,218.14,215.91,217.28,1604.08
1774833300000,217.28,218.05,216.71,217.73,1362.19
1774834200000,217.73,218.36,216.99,217.66,1029.45
1774835100000,217.66,218.77,217.55,218.42,1640.66
1774836000000,218.42,219.35,218.05,218.75,1224.23
1774836900000,218.75,219.04,217.69,218.03,1305.83
1774837800000,218.03,219.45,217.61,219.4,1334.75
1774838700000,219.4,221.58,219.25,220.04,5860.83
1774839600000,220.04,221.9,220.0,220.76,2837.92
1774840500000,220.76,221.58,220.62,221.5,462.6
1774841400000,221.5,221.8,221.21,221.36,932.43
1774842300000,221.36,222.0,221.01,221.73,666.35
1774843200000,221.73,222.67,221.68,222.56,1947.25
1774844100000,222.56,223.27,221.89,222.55,3196.85
1774845000000,222.55,223.36,222.54,223.1,1244.95
1774845900000,223.1,224.81,223.1,223.66,4935.78
1774846800000,223.66,226.24,223.62,225.07,3410.84
1774847700000,225.07,225.71,224.67,225.62,1465.46
1774848600000,225.62,225.78,223.96,224.58,1395.91
1774849500000,224.58,224.92,223.94,224.38,1564.75
1774850400000,224.38,226.58,224.35,225.87,2595.83
