strategy,breakout_atr_mult,stop_atr_mult,vol_mult,max_range_pct,total_trades,win_rate,profit_factor,avg_r,max_dd,total_return,sharpe,final_balance
momentum,0.6,2.0,1.3,0.04,244,39.75,1.32,0.1926,29.57,130.3,2.08,230.3
momentum,0.6,2.0,1.3,0.05,252,39.29,1.29,0.1786,26.77,120.88,1.93,220.88
momentum,0.3,1.5,2.5,0.03,175,38.86,1.27,0.1657,34.25,65.76,1.8,165.76
momentum,0.6,2.0,1.5,0.04,227,38.77,1.27,0.163,31.0,90.24,1.77,190.24
momentum,0.6,2.0,1.5,0.05,234,38.46,1.25,0.1538,29.65,86.1,1.67,186.1
momentum,0.4,1.5,1.5,0.03,273,38.1,1.23,0.1429,41.47,94.41,1.56,194.41
momentum,0.3,1.5,1.5,0.03,291,37.8,1.22,0.134,42.85,92.99,1.46,192.99
momentum,0.4,1.5,2.5,0.03,169,37.87,1.22,0.1361,31.64,47.49,1.48,147.49
momentum,0.5,1.5,2.5,0.03,158,37.97,1.22,0.1392,27.3,45.17,1.52,145.17
momentum,0.3,1.5,1.3,0.03,316,37.66,1.21,0.1297,39.28,98.8,1.42,198.8
momentum,0.3,1.5,2.5,0.04,183,37.7,1.21,0.1311,35.58,49.66,1.43,149.66
momentum,0.4,1.5,1.3,0.03,292,37.67,1.21,0.1301,42.67,89.16,1.42,189.16
momentum,0.4,1.5,1.5,0.04,294,37.76,1.21,0.1327,40.45,92.65,1.45,192.65
momentum,0.5,2.0,1.3,0.04,279,37.63,1.21,0.129,33.64,82.76,1.41,182.76
momentum,0.6,2.0,1.3,0.03,228,37.72,1.21,0.1316,32.45,65.53,1.44,165.53
momentum,0.3,1.5,2.0,0.03,232,37.5,1.2,0.125,41.34,62.05,1.37,162.05
momentum,0.4,1.5,1.3,0.04,312,37.5,1.2,0.125,40.37,91.34,1.37,191.34
momentum,0.4,1.5,1.5,0.05,302,37.42,1.2,0.1225,40.51,84.66,1.34,184.66
momentum,0.4,1.5,2.0,0.03,216,37.5,1.2,0.125,37.31,56.71,1.37,156.71
momentum,0.5,1.5,2.5,0.04,163,37.42,1.2,0.1227,27.28,39.33,1.34,139.33
momentum,0.6,1.5,1.3,0.04,237,37.55,1.2,0.1266,35.13,64.89,1.38,164.89
momentum,0.6,1.5,2.5,0.03,144,37.5,1.2,0.125,28.78,35.02,1.37,135.02
momentum,0.3,1.5,2.5,0.05,188,37.23,1.19,0.117,38.13,43.57,1.28,143.57
momentum,0.3,2.0,1.3,0.04,330,37.27,1.19,0.1182,41.95,90.08,1.29,190.08
momentum,0.3,2.0,1.5,0.04,309,37.22,1.19,0.1165,40.5,80.59,1.28,180.59
momentum,0.4,1.5,1.3,0.05,321,37.38,1.19,0.1215,39.21,90.75,1.33,190.75
momentum,0.5,2.0,1.3,0.05,281,37.37,1.19,0.121,30.98,75.47,1.32,175.47
momentum,0.6,1.5,1.5,0.04,225,37.33,1.19,0.12,37.53,56.25,1.31,156.25
momentum,0.6,2.0,2.5,0.03,142,37.32,1.19,0.1197,27.37,32.37,1.31,132.37
momentum,0.3,1.5,1.3,0.04,342,37.13,1.18,0.114,39.51,89.16,1.25,189.16
momentum,0.3,2.0,1.3,0.05,340,37.06,1.18,0.1118,39.75,85.44,1.22,185.44
momentum,0.3,2.0,1.5,0.05,316,37.03,1.18,0.1108,39.38,76.45,1.21,176.45
momentum,0.3,2.0,2.5,0.03,170,37.06,1.18,0.1118,27.77,36.32,1.22,136.32
momentum,0.4,2.0,1.5,0.04,289,37.02,1.18,0.1107,36.58,68.1,1.21,168.1
momentum,0.5,1.5,1.3,0.03,259,37.07,1.18,0.112,31.19,60.34,1.23,160.34
momentum,0.5,1.5,1.3,0.04,275,37.09,1.18,0.1127,32.6,65.76,1.23,165.76
momentum,0.5,1.5,2.5,0.05,167,37.13,1.18,0.1138,28.72,36.45,1.25,136.45
momentum,0.6,1.5,1.3,0.03,224,37.05,1.18,0.1116,33.81,50.08,1.22,150.08
momentum,0.3,1.5,1.3,0.05,355,36.9,1.17,0.107,40.5,84.46,1.17,184.46
momentum,0.4,1.5,2.5,0.04,176,36.93,1.17,0.108,32.98,35.92,1.18,135.92
momentum,0.4,2.0,1.5,0.05,296,36.82,1.17,0.1047,35.32,64.45,1.15,164.45
momentum,0.5,1.5,1.3,0.05,284,36.97,1.17,0.1092,31.31,65.25,1.2,165.25
momentum,0.5,2.0,1.5,0.04,258,36.82,1.17,0.1047,37.6,54.19,1.15,154.19
momentum,0.6,1.5,1.3,0.05,246,36.99,1.17,0.1098,33.85,54.94,1.2,154.94
momentum,0.6,1.5,1.5,0.03,211,36.97,1.17,0.109,36.18,45.1,1.19,145.1
momentum,0.6,1.5,1.5,0.05,233,36.91,1.17,0.1073,37.61,49.68,1.18,149.68
momentum,0.6,1.5,2.5,0.04,149,36.91,1.17,0.1074,28.8,29.5,1.18,129.5
momentum,0.3,1.5,1.5,0.04,313,36.74,1.16,0.1022,43.01,66.53,1.12,166.53
momentum,0.4,1.5,2.5,0.05,180,36.67,1.16,0.1,34.33,33.11,1.1,133.11
momentum,0.5,1.5,2.0,0.03,207,36.71,1.16,0.1014,33.39,39.73,1.11,139.73
momentum,0.3,1.5,1.5,0.05,321,36.45,1.15,0.0935,43.05,59.59,1.03,159.59
momentum,0.5,1.5,1.5,0.03,244,36.48,1.15,0.0943,35.19,43.14,1.04,143.14
momentum,0.5,2.0,1.5,0.05,265,36.6,1.15,0.0981,36.4,50.83,1.08,150.83
momentum,0.6,1.5,2.5,0.05,153,36.6,1.15,0.098,30.21,26.68,1.08,126.68
momentum,0.3,2.0,1.5,0.03,284,36.27,1.14,0.088,47.04,46.72,0.97,146.72
momentum,0.3,2.0,2.0,0.03,226,36.28,1.14,0.0885,38.86,35.89,0.97,135.89
momentum,0.4,2.0,1.3,0.04,303,36.3,1.14,0.0891,42.26,51.38,0.98,151.38
momentum,0.4,2.0,2.5,0.03,165,36.36,1.14,0.0909,28.66,26.07,1.0,126.07
momentum,0.5,1.5,1.5,0.04,261,36.4,1.14,0.092,36.55,45.05,1.01,145.05
momentum,0.5,1.5,2.0,0.04,217,36.41,1.14,0.0922,37.32,36.43,1.01,136.43
momentum,0.6,2.0,1.5,0.03,212,36.32,1.14,0.0896,37.41,33.9,0.99,133.9
momentum,0.6,2.0,2.5,0.04,146,36.3,1.14,0.089,27.35,22.17,0.98,122.17
momentum,0.6,2.5,1.3,0.04,229,36.24,1.14,0.0873,44.15,35.75,0.96,135.75
momentum,0.6,3.0,1.3,0.04,215,36.28,1.14,0.0884,45.46,33.88,0.97,133.88
momentum,0.3,2.0,1.3,0.03,310,36.13,1.13,0.0839,48.35,47.96,0.92,147.96
momentum,0.4,1.5,2.0,0.04,224,36.16,1.13,0.0848,42.19,33.35,0.93,133.35
momentum,0.4,1.5,2.0,0.05,227,36.12,1.13,0.0837,42.18,33.19,0.92,133.19
momentum,0.4,2.0,1.3,0.05,310,36.13,1.13,0.0839,39.94,48.0,0.92,148.0
momentum,0.5,1.5,1.5,0.05,269,36.06,1.13,0.0818,36.63,39.03,0.9,139.03
momentum,0.5,1.5,2.0,0.05,222,36.04,1.13,0.0811,37.32,30.87,0.89,130.87
momentum,0.5,2.0,1.3,0.03,260,36.15,1.13,0.0846,35.65,39.5,0.93,139.5
momentum,0.6,2.5,1.3,0.05,238,36.13,1.13,0.084,44.14,35.23,0.93,135.23
momentum,0.6,3.0,1.3,0.05,219,36.07,1.13,0.0822,44.74,31.0,0.91,131.0
momentum,0.3,1.5,2.0,0.04,243,35.8,1.12,0.0741,46.99,29.7,0.82,129.7
momentum,0.3,2.0,2.5,0.04,176,35.8,1.12,0.0739,30.56,20.66,0.82,120.66
momentum,0.4,2.0,2.0,0.03,212,35.85,1.12,0.0755,34.89,26.29,0.83,126.29
momentum,0.6,2.0,2.0,0.04,187,35.83,1.12,0.0749,30.71,22.62,0.83,122.62
momentum,0.6,2.0,2.5,0.05,150,36.0,1.12,0.08,28.8,19.49,0.88,119.49
momentum,0.6,2.5,1.5,0.05,223,35.87,1.12,0.0762,42.92,28.25,0.84,128.25
momentum,0.6,3.0,1.5,0.04,206,35.92,1.12,0.0777,43.67,26.57,0.86,126.57
momentum,0.6,3.0,1.5,0.05,214,35.98,1.12,0.0794,43.68,28.71,0.88,128.71
momentum,0.3,1.5,2.0,0.05,247,35.63,1.11,0.0688,48.02,27.05,0.76,127.05
momentum,0.4,2.0,1.5,0.03,266,35.71,1.11,0.0714,44.69,31.1,0.79,131.1
momentum,0.5,2.0,2.5,0.03,154,35.71,1.11,0.0714,31.64,16.96,0.79,116.96
momentum,0.6,1.5,2.0,0.04,191,35.6,1.11,0.0681,40.93,19.97,0.75,119.97
momentum,0.6,2.5,1.5,0.04,216,35.65,1.11,0.0694,42.94,23.59,0.77,123.59
momentum,0.5,2.5,1.3,0.04,260,35.38,1.1,0.0615,40.78,23.84,0.68,123.84
momentum,0.5,2.5,1.3,0.05,268,35.45,1.1,0.0634,38.41,25.99,0.7,125.99
momentum,0.6,1.5,2.0,0.03,183,35.52,1.1,0.0656,37.25,17.99,0.73,117.99
momentum,0.6,2.0,2.0,0.05,192,35.42,1.1,0.0625,30.74,17.59,0.69,117.59
momentum,0.3,2.0,2.5,0.05,181,35.36,1.09,0.0608,34.64,15.76,0.67,115.76
momentum,0.3,2.5,2.5,0.03,162,35.19,1.09,0.0556,38.21,12.11,0.62,112.11
momentum,0.3,3.0,1.5,0.05,283,35.34,1.09,0.0601,52.87,25.27,0.66,125.27
momentum,0.3,3.0,2.5,0.03,162,35.19,1.09,0.0556,36.33,12.12,0.62,112.12
momentum,0.4,2.5,1.5,0.05,269,35.32,1.09,0.0595,53.56,23.63,0.66,123.63
momentum,0.5,2.0,2.0,0.04,210,35.24,1.09,0.0571,34.89,16.73,0.63,116.73
momentum,0.6,1.5,2.0,0.05,196,35.2,1.09,0.0561,40.94,15.09,0.62,115.09
momentum,0.3,2.5,1.3,0.04,300,35.0,1.08,0.05,53.01,19.62,0.55,119.62
momentum,0.3,2.5,1.3,0.05,303,34.98,1.08,0.0495,52.08,19.46,0.55,119.46
momentum,0.3,3.0,1.3,0.03,296,35.14,1.08,0.0541,55.8,22.17,0.6,122.17
momentum,0.3,3.0,1.5,0.03,271,35.06,1.08,0.0517,52.85,18.61,0.57,118.61
